"Ign","Team","Acs","Matches"
"valyn","The Guard (ex)",399,55
"Chronicle","M3 Champions (ex)",394,47
"nAts","M3 Champions (ex)",392,47
"sheydos","M3 Champions (ex)",361,47
"Akame","K2 eSports (ex)",338,2
"luckeRRR","BIG (ex)",334,12
"Redgar","M3 Champions (ex)",325,47
"kobra","REJECT (si)",306,1
"Suggest","DetonatioN Gaming White (ex)",292,4
"Dualing","Storks Phalanx (ex)",291,4
"Chronicle","Gambit Esports (ex)",284,5
"kobra","Sengoku Gaming (ex)",281,7
"JohnOlsen","FULL SENSE",279,11
"Kei","looking for a name",276,2
"Estrella","Desperado (ex)",276,5
"Lightningfast","Global Esports",272,5
"Lakia","IGZIST (ex)",269,19
"Rico","EVA:e (ex)",268,3
"Foxy9","Reignite (ex)",266,10
"something","BLUE BEES.ESP (ex)",265,7
"hsk","DetonatioN Gaming White",263,4
"Ssun","Spear Gaming (ex)",261,30
"NoMan","Oblivion Force (ex)",261,4
"Munchkin","Crazy Raccoon (ex)",259,26
"Meteor","NORTHEPTION (ex)",259,40
"CLZ","FENNEL",257,7
"SyouTa","REJECT (si)",257,1
"keznit","KRÜ Esports (ex)",257,70
"Vera","No Namers (ex)",257,5
"mittiii","FENNEL (ex)",256,7
"T3xture","DAMWON Gaming (ex)",256,56
"Anthem","SCARZ (ex)",254,5
"f0rsakeN","Paper Rex",253,61
"Alfajer","FNATIC",251,45
"Jemkin","Crest Gaming ZST (ex)",250,7
"bdog","Shopify Rebellion",250,4
"Derke","FNATIC",250,65
"thiefy","Sengoku Gaming (ex)",248,7
"yay","OpTic Gaming (ex)",248,111
"oitaN","IGZIST",247,19
"Jinggg","Paper Rex",247,61
"mwzera","Keyd Stars (ex)",247,60
"leaf","Cloud9",247,47
"ZmjjKK","EDward Gaming",245,5
"aspas","LOUD",245,67
"SkRossi","Global Esports",243,5
"liazzi","Liberty",242,20
"nukkye","G2 Esports (Inactive) (ex)",242,57
"Bangnan","Team T5 (ex)",242,22
"heat","Keyd Stars (ex)",242,60
"NiSMO","Ghost Gaming (ex)",242,15
"Hate","Jadeite (ex)",242,4
"jzz","MIBR",241,17
"MatiS","EBRO Gaming (ex)",241,11
"Meiy","Crazy Raccoon",240,40
"xand","Ninjas in Pyjamas (ex)",240,66
"dgzin","Gamelanders Blue (ex)",240,24
"allow","Jadeite (ex)",239,12
"Famouz","Persija Esports (ex)",239,16
"Tuli","Movistar Optix (ex)",238,27
"Deryeon","Bleed Esports (ex)",238,37
"QutionerX","BBL Esports",238,26
"JUGi","FOKUS",238,12
"penny","Version1 (Inactive) (ex)",237,21
"Redneval","CERBERUS Esports (ex)",237,8
"Monyet","Onic Esports (ex)",237,38
"dicey","FaZe Clan",236,37
"Jremy","Team Secret",236,10
"RIA","ややーず (ex)",236,2
"Cryocells","XSET (ex)",236,66
"Bazzi","On Sla2ers (ex)",236,55
"Learica","TRIDENT (ex)",236,2
"ScreaM","Team Liquid (ex)",235,75
"cuda","GyoGun (ex)",235,2
"BuZz","DRX",235,91
"BABYBAY","FaZe Clan",235,37
"HANN","World Game Star",235,56
"Wenty","Tartarus (ex)",234,16
"Sayf","Guild Esports (ex)",233,54
"jawgemo","Evil Geniuses",233,35
"Cloud","Natus Vincere (ex)",233,35
"Luna","IXA",233,5
"Kush","Alter Ego",233,22
"Kadoom","Made in Thailand",233,28
"cNed","Acend (ex)",232,37
"Minty","FAV gaming",232,23
"Feniz","E-Xolos LAZER",232,16
"ban","Knights (ex)",232,17
"Pay","Veronica7 (ex)",232,5
"Jemkin","BLUE BEES.ESP (ex)",232,6
"Reita","Crest Gaming ZST (si)",231,1
"Knight","Pentagon",231,5
"K1llgrave","DeToNator (ex)",231,3
"Laz","ZETA DIVISION",231,63
"Lmemore","Onic Esports (ex)",231,38
"H1BER","FNATIC (si)",231,4
"Sayaplayer","The Guard (ex)",230,55
"Daveeys","E-Xolos LAZER (ex)",230,16
"Fisker","FAV gaming (ex)",230,23
"Twisten","BIG (ex)",230,25
"Neal X","Insomnia (ex)",230,3
"Moothie","CNJ Esports (ex)",230,18
"ardiis","FunPlus Phoenix (ex)",229,89
"deLb","Alter Ego",229,22
"trexx","Guild Esports",228,54
"TenZ","Sentinels",228,36
"MOLSI","OG LDN UTD (ex)",228,21
"Tacolilla","Leviatán",228,71
"dgzin","FURIA",228,15
"Chibab","Maru Gaming",227,58
"Nizzy","Fancy United Esports",227,5
"JinboongE","Brimstone (ex)",227,7
"sScary","XERXIA Esports (ex)",227,61
"MqsaaV","Mariner",227,2
"sakurai","Hexad (ex)",226,6
"artzin","Stars Horizon (ex)",226,8
"UdoTan","GoNGo Prince (ex)",226,7
"Nexi","Rex Regum Qeon (ex)",225,8
"Surf","XERXIA Esports (ex)",225,61
"FREY","Gaimin Gladiators (ex)",225,6
"Rb","DRX",224,91
"Asuna","100 Thieves",224,55
"Zander","Version1 (Inactive) (ex)",224,21
"AsLanM4shadoW","BBL Esports",224,26
"hatty","ややーず (ex)",224,2
"WRONSKI","ORDER (ex)",224,16
"Retla","Bleed Esports (ex)",223,10
"DubsteP","Team Secret",223,27
"Xeppaa","Cloud9",223,47
"Smoggy","EDward Gaming",223,3
"something","Sengoku Gaming",223,4
"takej","Crest Gaming ZST (si)",223,1
"Halbae","World Game Star (ex)",222,5
"Suka","Fancy United Esports (ex)",222,5
"wannafly","Made in Thailand",222,28
"kiNgg","Leviatán",222,71
"zekken","XSET (ex)",222,66
"sheydos","Gambit Esports (ex)",222,5
"Dep","ZETA DIVISION",222,63
"TenzouEz","DeToNator (ex)",222,3
"MOLSI","LDN UTD (ex)",221,12
"Jamppi","Team Liquid",221,75
"RgLMeister","INGAMING Esports (ex)",221,9
"SiuFatBB","Griffin E-Sports",221,16
"Maple","ORDER (ex)",221,16
"blurred","NAOS Esports",221,6
"tixx","Bonkers(OCE) (ex)",221,8
"Medusa","REJECT (ex)",220,31
"Less","LOUD",220,67
"bdog","Luminosity Gaming (ex)",220,33
