"Ign","Team","Agent","Picks","Matches","Percentage"
"yay","OpTic Gaming (ex)","Chamber",95,111,"85.59"
"Zest","DRX","Sova",53,91,"58.24"
"ardiis","FunPlus Phoenix (ex)","Chamber",48,89,"53.93"
"Zyppan","FunPlus Phoenix (ex)","Raze",47,95,"49.47"
"Surf","XERXIA Esports (ex)","Jett",46,61,"75.41"
"Tacolilla","Leviatán","Chamber",45,71,"63.38"
"BuZz","DRX","Chamber",45,91,"49.45"
"crashies","OpTic Gaming (ex)","Sova",44,111,"39.64"
"Chibab","Maru Gaming","Jett",44,58,"75.86"
"NagZ","KRÜ Esports","Chamber",43,73,"58.90"
"Shao","FunPlus Phoenix (ex)","Fade",42,95,"44.21"
"adverso","Leviatán (ex)","Sova",41,71,"57.75"
"Zyppan","FunPlus Phoenix (ex)","KAY/O",41,95,"43.16"
"MaKo","DRX","Viper",40,91,"43.96"
"Rb","DRX","Jett",40,91,"43.96"
"Cryocells","XSET (ex)","Chamber",40,66,"60.61"
"SugarZ3ro","ZETA DIVISION","Astra",39,63,"61.90"
"T3xture","DAMWON Gaming (ex)","Jett",39,56,"69.64"
"Marved","OpTic Gaming","Brimstone",39,111,"35.14"
"Sacy","LOUD (ex)","Sova",38,67,"56.72"
"stax","DRX","Skye",37,91,"40.66"
"Derke","FNATIC","Chamber",37,65,"56.92"
"ANGE1","FunPlus Phoenix (ex)","Omen",36,85,"42.35"
"Laz","ZETA DIVISION","Chamber",36,63,"57.14"
"NakJi","Maru Gaming (ex)","Chamber",36,58,"62.07"
"mixwell","G2 Esports (Inactive) (ex)","Chamber",36,52,"69.23"
"cauanzin","Ninjas in Pyjamas (ex)","Sova",35,66,"53.03"
"Jinggg","Paper Rex","Raze",35,61,"57.38"
"Victor","OpTic Gaming (ex)","Neon",35,111,"31.53"
"AYRIN","XSET (ex)","Viper",34,66,"51.52"
"FNS","OpTic Gaming (ex)","Breach",34,111,"30.63"
"Saadhak","LOUD","KAY/O",34,67,"50.75"
"SUYGETSU","FunPlus Phoenix (ex)","Viper",34,85,"40.00"
"xand","Ninjas in Pyjamas (ex)","Jett",34,66,"51.52"
"FNS","OpTic Gaming (ex)","Viper",34,111,"30.63"
"ScreaM","Team Liquid (ex)","Raze",33,75,"44.00"
"aspas","LOUD","Jett",33,67,"49.25"
"Victor","OpTic Gaming (ex)","KAY/O",33,111,"29.73"
"dicey","FaZe Clan","Chamber",33,37,"89.19"
"sushiboys","XERXIA Esports (ex)","Killjoy",32,61,"52.46"
"Marved","OpTic Gaming","Astra",32,111,"28.83"
"popogachi","Crazy Raccoon","Sova",32,40,"80.00"
"foxz","XERXIA Esports (ex)","Sova",31,61,"50.82"
"TENNN","ZETA DIVISION","Raze",31,63,"49.21"
"Jamppi","Team Liquid","Chamber",31,75,"41.33"
"Sayaplayer","The Guard (ex)","Jett",31,55,"56.36"
"heat","Keyd Stars (ex)","Jett",31,60,"51.67"
"keznit","KRÜ Esports (ex)","Raze",30,70,"42.86"
"f0rsakeN","Paper Rex","Jett",29,61,"47.54"
"heat","Keyd Stars (ex)","Chamber",29,60,"48.33"
"Delz1k","KRÜ Esports (ex)","Omen",29,73,"39.73"
"crashies","OpTic Gaming (ex)","Skye",29,111,"26.13"
"Victor","OpTic Gaming (ex)","Raze",28,111,"25.23"
"iRdy","World Game Star","Sova",28,59,"47.46"
"poised","FaZe Clan","KAY/O",28,37,"75.68"
"mwzera","Keyd Stars (ex)","Raze",28,60,"46.67"
"Deryeon","Bleed Esports (ex)","Jett",28,37,"75.68"
"Dep","ZETA DIVISION","Jett",28,63,"44.44"
"zekken","XSET (ex)","Raze",27,66,"40.91"
"aspas","LOUD","Raze",27,67,"40.30"
"lenne","Bleed Esports (ex)","Sova",27,37,"72.97"
"stax","DRX","Breach",27,91,"29.67"
"Esperanza","DAMWON Gaming","Sova",27,58,"46.55"
"nukkye","G2 Esports (Inactive) (ex)","Raze",26,57,"45.61"
"Cryocells","XSET (ex)","Jett",26,66,"39.39"
"zunba","On Sla2ers (ex)","Astra",26,49,"53.06"
"sScary","XERXIA Esports (ex)","Astra",26,61,"42.62"
"BcJ","XSET (ex)","Sova",26,66,"39.39"
"Sylvan","World Game Star","Astra",26,59,"44.07"
"tex","NRG Esports (ex)","Chamber",26,39,"66.67"
"Nozwerr","FURIA (ex)","Sova",25,49,"51.02"
"TS","On Sla2ers (ex)","Sova",25,49,"51.02"
"TenZ","Sentinels","Jett",25,36,"69.44"
"Leo","Guild Esports (ex)","Sova",25,54,"46.30"
"JoXJo","NORTHEPTION (ex)","Breach",25,40,"62.50"
"Meteor","NORTHEPTION (ex)","Jett",25,40,"62.50"
"Less","LOUD","Viper",24,67,"35.82"
"ShahZaM","Sentinels (ex)","Sova",24,38,"63.16"
"mwzera","Keyd Stars (ex)","Sova",24,60,"40.00"
"Quick","FURIA","Chamber",24,49,"48.98"
"nAts","M3 Champions (ex)","Viper",24,81,"29.63"
"pANcada","LOUD (ex)","Omen",24,67,"35.82"
"bezn1","Ninjas in Pyjamas (ex)","Cypher",24,66,"36.36"
"crashies","OpTic Gaming (ex)","KAY/O",24,111,"21.62"
"HANN","World Game Star","Jett",24,56,"42.86"
"Monyet","Onic Esports (ex)","Jett",24,38,"63.16"
"crws","XERXIA Esports (ex)","Breach",23,61,"37.70"
"MaKo","DRX","Astra",23,91,"25.27"
"Nivera","Team Liquid (ex)","Viper",23,75,"30.67"
"Hoody","G2 Esports (Inactive) (ex)","Sage",23,57,"40.35"
"sScary","XERXIA Esports (ex)","Viper",23,61,"37.70"
"Bazzi","On Sla2ers (ex)","Jett",23,49,"46.94"
"soulcas","Team Liquid","Fade",23,75,"30.67"
"nukkye","G2 Esports (Inactive) (ex)","Sova",23,57,"40.35"
"kiNgg","Leviatán","Raze",23,71,"32.39"
"crow","ZETA DIVISION","Breach",22,63,"34.92"
"GwangUh","Maru Gaming (ex)","Astra",22,26,"84.62"
"Tacolilla","Leviatán","Jett",22,71,"30.99"
"Shao","FunPlus Phoenix (ex)","Sova",22,95,"23.16"
"Enzo","FNATIC (ex)","Fade",22,49,"44.90"
"Meddo","G2 Esports (Inactive) (ex)","Killjoy",22,57,"38.60"
"leaf","Cloud9","Jett",22,47,"46.81"
"trent","The Guard","Sova",22,55,"40.00"
"Luke","World Game Star","Chamber",21,54,"38.89"
"Moves","Maru Gaming (ex)","Breach",21,32,"65.63"
"mindfreak","Paper Rex","Viper",21,61,"34.43"
"Melser","Leviatán (ex)","Astra",21,71,"29.58"
"dephh","XSET (ex)","Astra",21,66,"31.82"
"Sayf","Guild Esports (ex)","Jett",21,54,"38.89"
"Jeong Hi","DAMWON Gaming (ex)","Astra",21,27,"77.78"
"Melser","Leviatán (ex)","Omen",21,71,"29.58"
"k1Ng","On Sla2ers (ex)","Killjoy",21,49,"42.86"
"Sayf","Guild Esports (ex)","Chamber",21,54,"38.89"
"Klaus","KRÜ Esports","Viper",21,73,"28.77"
"Shiro","Onic Esports (ex)","Sova",21,38,"55.26"
"Alfajer","FNATIC","Raze",21,45,"46.67"
"Boostio","Evil Geniuses","Chamber",21,35,"60.00"
"kiNgg","Leviatán","KAY/O",20,71,"28.17"
"NagZ","KRÜ Esports","Jett",20,73,"27.40"
"Zest","DRX","Fade",20,91,"21.98"
"eeiu","NRG Esports (ex)","Sova",20,39,"51.28"
"ardiis","FunPlus Phoenix (ex)","Jett",20,89,"22.47"
"Marved","OpTic Gaming","Omen",20,111,"18.02"
"Chronicle","M3 Champions (ex)","Chamber",20,81,"24.69"
"flyuh","FaZe Clan (ex)","Sova",20,35,"57.14"
"BerserX","BOOM Esports","Jett",20,45,"44.44"
"Munchkin","Crazy Raccoon (ex)","Jett",19,26,"73.08"
"Lmemore","Onic Esports (ex)","Chamber",19,38,"50.00"
"vanity","Cloud9","Omen",19,47,"40.43"
"Xeppaa","Cloud9","KAY/O",19,47,"40.43"
"d4v41","Paper Rex","Chamber",19,61,"31.15"
"trexx","Guild Esports","Raze",19,54,"35.19"
"JessieVash","Team Secret","Sova",19,27,"70.37"
"Will","100 Thieves (ex)","Chamber",19,42,"45.24"
"SUYGETSU","FunPlus Phoenix (ex)","Cypher",19,85,"22.35"
"Less","LOUD","Killjoy",19,67,"28.36"
"GODLIKE","World Game Star (ex)","Breach",19,57,"33.33"
"maxie","Bleed Esports (ex)","Omen",18,37,"48.65"
"SugarZ3ro","ZETA DIVISION","Viper",18,63,"28.57"
"dazzLe","Luminosity Gaming (ex)","Sova",18,33,"54.55"
"WIX","Maru Gaming (ex)","Chamber",18,58,"31.03"
"MaKo","DRX","Omen",18,91,"19.78"
"Sacy","LOUD (ex)","Fade",18,67,"26.87"
"mitch","Cloud9 (ex)","Chamber",18,47,"38.30"
"HANN","World Game Star","Neon",18,56,"32.14"
"Khalil","FURIA","Omen",18,49,"36.73"
"BcJ","XSET (ex)","Skye",18,66,"27.27"
"SUYGETSU","FunPlus Phoenix (ex)","Sage",18,85,"21.18"
"AvovA","G2 Esports (Inactive) (ex)","Astra",18,57,"31.58"
"Benkai","Paper Rex","Cypher",17,61,"27.87"
"adverso","Leviatán (ex)","Breach",17,71,"23.94"
"FNS","OpTic Gaming (ex)","Killjoy",17,111,"15.32"
"neT","The Guard","Chamber",17,55,"30.91"
"crow","ZETA DIVISION","Sova",17,63,"26.98"
"Hate","DAMWON Gaming (ex)","Breach",17,28,"60.71"
"BuZz","DRX","Killjoy",17,91,"18.68"
"Boaster","FNATIC","Omen",17,69,"24.64"
"BuZz","DRX","Jett",17,91,"18.68"
"foxz","XERXIA Esports (ex)","Skye",17,61,"27.87"
"BABYBAY","FaZe Clan","Neon",17,37,"45.95"
"mada","Luminosity Gaming (ex)","Raze",17,33,"51.52"
"RND","Los Grandes (ex)","Chamber",17,19,"89.47"
"7ssk7","Natus Vincere (ex)","Jett",17,35,"48.57"
"dephh","XSET (ex)","KAY/O",17,66,"25.76"
"neT","The Guard","Killjoy",17,55,"30.91"
"blaZek1ng","BOOM Esports","Sova",17,45,"37.78"
"Meiy","Crazy Raccoon","Skye",17,40,"42.50"
"Redgar","M3 Champions","Sova",17,81,"20.99"
"Sylvan","World Game Star","Omen",17,59,"28.81"
"valyn","The Guard (ex)","Omen",16,110,"14.55"
"Shyy","Leviatán","Fade",16,36,"44.44"
"penny","Version1 (Inactive) (ex)","Jett",16,21,"76.19"
"Mazino","KRÜ Esports (ex)","Skye",16,73,"21.92"
"Less","LOUD","Chamber",16,67,"23.88"
"AvovA","G2 Esports (Inactive) (ex)","Omen",16,57,"28.07"
"Enzo","FNATIC (ex)","Sova",16,49,"32.65"
"tehbotol","BOOM Esports (ex)","Astra",16,45,"35.56"
"Benkai","Paper Rex","Breach",16,61,"26.23"
"Klaus","KRÜ Esports","Sova",16,73,"21.92"
"mindfreak","Paper Rex","Omen",16,61,"26.23"
"yay","OpTic Gaming (ex)","Jett",16,111,"14.41"
"Genghsta","Knights (ex)","Sova",16,17,"94.12"
"tuyz","TBK Esports (ex)","Jett",16,38,"42.11"
"Moves","Team T5 (ex)","Sova",16,22,"72.73"
"murizzz","Keyd Stars (ex)","Sage",16,60,"26.67"
"crow","ZETA DIVISION","Skye",16,63,"25.40"
"nAts","M3 Champions (ex)","Viper",16,81,"19.75"
"Shao","FunPlus Phoenix (ex)","Sage",16,95,"16.84"
"xeta","Cloud9 (ex)","Sova",16,28,"57.14"
"Bangnan","Team T5 (ex)","Jett",16,22,"72.73"
"GodDead","On Sla2ers","KAY/O",16,49,"32.65"
"Jonn","Ninjas in Pyjamas (ex)","Reyna",16,66,"24.24"
"tehbotol","BOOM Esports (ex)","Breach",16,45,"35.56"
"koldamenta","Guild Esports","Viper",16,54,"29.63"
"Nivera","Team Liquid (ex)","Chamber",16,75,"21.33"
"Sayaplayer","The Guard (ex)","Raze",16,55,"29.09"
"valyn","The Guard","Omen",16,110,"14.55"
"Asuna","100 Thieves","KAY/O",16,55,"29.09"
"braveaf","FNATIC (ex)","Sova",15,20,"75.00"
"Jonn","Ninjas in Pyjamas (ex)","Jett",15,66,"22.73"
"dephh","XSET (ex)","Breach",15,66,"22.73"
"liazzi","Liberty","Raze",15,20,"75.00"
"bnj","Ninjas in Pyjamas (ex)","Viper",15,34,"44.12"
"lukzera","TBK Esports","Astra",15,38,"39.47"
"matheuzin","TBK Esports","Viper",15,38,"39.47"
"Moothie","CNJ Esports (ex)","Chamber",15,18,"83.33"
"f0rsakeN","Paper Rex","Chamber",15,61,"24.59"
"valyn","The Guard","Astra",15,110,"13.64"
"Dep","ZETA DIVISION","Sage",15,63,"23.81"
"cNed","Acend (ex)","Chamber",15,37,"40.54"
"7ssk7","Natus Vincere (ex)","Chamber",15,35,"42.86"
"fl1pzjder","BOOM Esports (ex)","Chamber",15,45,"33.33"
"bdog","Luminosity Gaming (ex)","Jett",15,33,"45.45"
"supamen","FaZe Clan","Viper",15,37,"40.54"
"bdog","Luminosity Gaming (ex)","Chamber",15,33,"45.45"
"AloNeFillz","Made in Thailand","Sova",15,28,"53.57"
"DubsteP","Team Secret","Jett",15,27,"55.56"
"hazed","NRG Esports (ex)","Astra",15,39,"38.46"
"Meddo","G2 Esports (Inactive) (ex)","Viper",15,57,"26.32"
"stax","DRX","KAY/O",15,91,"16.48"
"k1Ng","On Sla2ers (ex)","Viper",15,49,"30.61"
"Mazino","KRÜ Esports (ex)","Sage",15,73,"20.55"
"cNed","Acend (ex)","Jett",15,37,"40.54"
"koldamenta","Guild Esports","Astra",15,54,"27.78"
"stellar","100 Thieves","Sage",15,42,"35.71"
"Derke","FNATIC","Jett",15,65,"23.08"
"Laz","ZETA DIVISION","Viper",15,63,"23.81"
"valyn","The Guard (ex)","Astra",15,110,"13.64"
"Delz1k","KRÜ Esports (ex)","Brimstone",15,73,"20.55"
"Derrek","100 Thieves","Sova",15,42,"35.71"
"Bangnan","DAMWON Gaming (ex)","Chamber",14,28,"50.00"
"ban","Knights (ex)","Jett",14,17,"82.35"
"xand","Ninjas in Pyjamas (ex)","Chamber",14,66,"21.21"
"Leo","Guild Esports (ex)","Breach",14,54,"25.93"
"noxxy","Alter Ego (si)","Chamber",14,22,"63.64"
"Rb","DRX","Neon",14,91,"15.38"
"Meiy","Crazy Raccoon","Jett",14,40,"35.00"
"ryotzz","TBK Esports","Skye",14,38,"36.84"
"MONSTEERR","Acend (ex)","Viper",14,24,"58.33"
"Jonn","Ninjas in Pyjamas (ex)","Neon",14,66,"21.21"
"bang","100 Thieves","Viper",14,50,"28.00"
"pyth","Bleed Esports (ex)","Killjoy",14,37,"37.84"
"ardiis","FunPlus Phoenix (ex)","KAY/O",14,89,"15.73"
"Pepper","IGZIST (ex)","Jett",14,19,"73.68"
"mitch","Cloud9 (ex)","Killjoy",14,47,"29.79"
"Mazino","KRÜ Esports (ex)","Fade",14,73,"19.18"
"Ssun","Spear Gaming (ex)","Jett",14,30,"46.67"
"Mizu","9z Team","Chamber",14,37,"37.84"
"mindfreak","Paper Rex","Astra",14,61,"22.95"
"Asuna","100 Thieves","Raze",14,55,"25.45"
"C0M","Evil Geniuses","Sova",14,23,"60.87"
"Russ","Guild Esports (ex)","Skye",14,47,"29.79"
"axeLuvY","Alter Ego (ex)","Brimstone",14,22,"63.64"
"Klaus","KRÜ Esports","Breach",14,73,"19.18"
"tuyz","TBK Esports (ex)","Chamber",14,38,"36.84"
"Will","100 Thieves (ex)","Raze",14,42,"33.33"
"kiNgg","Leviatán","Neon",14,71,"19.72"
"SEVERiNE","Onic Esports (ex)","KAY/O",14,38,"36.84"
"crws","XERXIA Esports (ex)","KAY/O",14,61,"22.95"
"MAGNUM","FNATIC (ex)","Killjoy",13,24,"54.17"
"AvovA","G2 Esports (Inactive) (ex)","Viper",13,57,"22.81"
"Keria","Spear Gaming","Viper",13,30,"43.33"
"eeiu","NRG Esports (ex)","Fade",13,39,"33.33"
"neT","The Guard","Viper",13,55,"23.64"
"GOLD","Desperado (ex)","Astra",13,15,"86.67"
"Nivera","Team Liquid (ex)","Cypher",13,75,"17.33"
"flyuh","FaZe Clan (ex)","Breach",13,35,"37.14"
"effys","Version1 (Inactive) (ex)","Sova",13,21,"61.90"
"Destrian","OG LDN UTD (ex)","Fade",13,21,"61.90"
"bang","100 Thieves","Brimstone",13,50,"26.00"
"lukzera","TBK Esports","Omen",13,38,"34.21"
"xnfri","NORTHEPTION (ex)","Skye",13,40,"32.50"
"sheydos","M3 Champions","KAY/O",13,81,"16.05"
"v1xen","Keyd Stars (ex)","Viper",13,25,"52.00"
"Jamppi","Team Liquid","Omen",13,75,"17.33"
"QutionerX","BBL Esports","Jett",13,26,"50.00"
"Moose","Luminosity Gaming (ex)","Cypher",13,33,"39.39"
"Derke","FNATIC","Raze",13,65,"20.00"
"Astell","Crazy Raccoon","Killjoy",13,40,"32.50"
"koldamenta","Guild Esports","Omen",13,54,"24.07"
"kon4n","TBK Esports (ex)","Raze",13,38,"34.21"
"d3ffo","M3 Champions (ex)","Jett",13,34,"38.24"
"Chronicle","M3 Champions (ex)","Chamber",13,81,"16.05"
"Hoody","G2 Esports (Inactive) (ex)","Skye",13,57,"22.81"
"BlackWiz","NORTHEPTION","Astra",13,40,"32.50"
"Dispenser","Team Secret","Killjoy",13,20,"65.00"
"Wenty","Tartarus (ex)","Chamber",13,14,"92.86"
"pANcada","LOUD (ex)","Astra",13,67,"19.40"
"Russ","Guild Esports (ex)","Sage",13,47,"27.66"
"BerserX","BOOM Esports","Neon",13,45,"28.89"
"Rb","DRX","KAY/O",13,91,"14.29"
"Chibab","Maru Gaming","Neon",13,58,"22.41"
"Quick","FURIA","Jett",13,49,"26.53"
"redwater877","Team T5","KAY/O",13,22,"59.09"
"Derrek","100 Thieves","Fade",13,42,"30.95"
"bnj","Ninjas in Pyjamas (ex)","Omen",13,34,"38.24"
"cauanzin","Ninjas in Pyjamas (ex)","KAY/O",13,66,"19.70"
"Surf","XERXIA Esports (ex)","Chamber",13,61,"21.31"
"pANcada","LOUD (ex)","Brimstone",13,67,"19.40"
"crws","XERXIA Esports (ex)","Sage",13,61,"21.31"
"Delz1k","KRÜ Esports (ex)","Astra",13,73,"17.81"
"gustt1nha","Los Grandes (ex)","Fade",13,19,"68.42"
"trent","The Guard","Skye",13,55,"23.64"
"bang","100 Thieves","Omen",12,50,"24.00"
"WIX","Maru Gaming (ex)","KAY/O",12,58,"20.69"
"d4v41","Paper Rex","Fade",12,61,"19.67"
"zeek","Acend (ex)","KAY/O",12,28,"42.86"
"Melser","Leviatán (ex)","Brimstone",12,71,"16.90"
"jawgemo","Evil Geniuses","Raze",12,35,"34.29"
"Derialy","NORTHEPTION","Killjoy",12,26,"46.15"
"JonahP","The Guard","Sage",12,55,"21.82"
"zeddy","Natus Vincere (ex)","Omen",12,22,"54.55"
"GodDead","On Sla2ers","Breach",12,49,"24.49"
"Daveeys","E-Xolos LAZER (ex)","Chamber",12,16,"75.00"
"Ssun","Spear Gaming (ex)","Raze",12,30,"40.00"
"iRdy","World Game Star","Sage",12,59,"20.34"
"Mistic","FNATIC (ex)","Breach",12,69,"17.39"
"ScreaM","Team Liquid (ex)","Jett",12,75,"16.00"
"Esperanza","DAMWON Gaming","Sage",12,58,"20.69"
