"Ign","Team","Agent","Rounds","Wins","Percentage"
"hsk","DetonatioN Gaming White","Skye",13,13,"100.00"
"Envy","FENNEL (ex)","Viper",13,13,"100.00"
"ANGE1","FunPlus Phoenix (ex)","Jett",13,13,"100.00"
"Derialy","FENNEL (ex)","Killjoy",13,13,"100.00"
"rDeeW","ORDER (ex)","Cypher",14,13,"92.86"
"WRONSKI","ORDER (ex)","Raze",14,13,"92.86"
"Meiy","Crazy Raccoon","Jett",29,26,"89.66"
"Zest","DRX","Skye",15,13,"86.67"
"GodDead","On Sla2ers (si)","Breach",15,13,"86.67"
"Flax","Hexad (ex)","Sova",15,13,"86.67"
"Phantom","FAV gaming","Sova",15,13,"86.67"
"Reita","REJECT (ex)","Chamber",30,26,"86.67"
"Maple","ORDER (ex)","Fade",15,13,"86.67"
"k1Ng","On Sla2ers (si)","Cypher",16,13,"81.25"
"Bazzi","On Sla2ers (ex)","Neon",16,13,"81.25"
"zeek","Acend (ex)","Breach",16,13,"81.25"
"Felix","HolyMolly (ex)","Sage",16,13,"81.25"
"BuZz","DRX","Cypher",16,13,"81.25"
"Nozwerr","FURIA (ex)","Fade",16,13,"81.25"
"takej","REJECT (ex)","Raze",16,13,"81.25"
"THEE","FULL SENSE","Cypher",16,13,"81.25"
"Sylvan","World Game Star","Viper",16,13,"81.25"
"Luke","World Game Star","KAY/O",16,13,"81.25"
"rDeeW","Bonkers(OCE) (ex)","Sage",16,13,"81.25"
"Has1ra14","CNJ Esports","Sage",16,13,"81.25"
"GodDead","On Sla2ers (si)","KAY/O",16,13,"81.25"
"Bangnan","DAMWON Gaming (ex)","KAY/O",33,26,"78.79"
"Destrian","LDN UTD (ex)","Astra",17,13,"76.47"
"Hate","DAMWON Gaming (ex)","Fade",17,13,"76.47"
"k1Ng","On Sla2ers (si)","Killjoy",34,26,"76.47"
"tuyz","TBK Esports (ex)","Reyna",17,13,"76.47"
"Moose","Luminosity Gaming (ex)","Brimstone",17,13,"76.47"
"MOLSI","LDN UTD (ex)","Skye",17,13,"76.47"
"Zellsis","Version1 (Inactive) (ex)","KAY/O",17,13,"76.47"
"kobra","Sengoku Gaming (ex)","Chamber",17,13,"76.47"
"Mazino","KRÜ Esports (ex)","Sova",17,13,"76.47"
"thiefy","Sengoku Gaming (ex)","Raze",17,13,"76.47"
"Marved","OpTic Gaming","KAY/O",35,26,"74.29"
"HaReeee","REJECT (ex)","Sage",70,52,"74.29"
"Zerost","BLUE BEES.ESP (ex)","Killjoy",35,26,"74.29"
"pANcada","LOUD (ex)","Sage",53,39,"73.58"
"Medusa","REJECT (ex)","Raze",53,39,"73.58"
"C0M","Evil Geniuses","Fade",36,26,"72.22"
"Fisker","FAV gaming (ex)","Reyna",36,26,"72.22"
"XXiF","Knights (ex)","Skye",18,13,"72.22"
"L1NK","Team Liquid (ex)","Sage",18,13,"72.22"
"xnfri","NORTHEPTION (ex)","Raze",18,13,"72.22"
"pyth","Bleed Esports (ex)","Viper",36,26,"72.22"
"valyn","The Guard (ex)","Viper",36,26,"72.22"
"vanity","Cloud9","Brimstone",18,13,"72.22"
"nobody","EDward Gaming","Sova",18,13,"72.22"
"Reita","REJECT (ex)","Viper",18,13,"72.22"
"valyn","The Guard","Viper",36,26,"72.22"
"Kadoom","Made in Thailand","Raze",36,26,"72.22"
"koalanoob","Ghost Gaming (ex)","Jett",18,13,"72.22"
"LOB","FAV gaming","Killjoy",18,13,"72.22"
"zekken","XSET (ex)","KAY/O",36,26,"72.22"
"Zellsis","Version1 (Inactive) (ex)","Skye",18,13,"72.22"
"Esperanza","DAMWON Gaming","Killjoy",18,13,"72.22"
"Exy","DAMWON Gaming","KAY/O",36,26,"72.22"
"Mizu","9z Team","Viper",18,13,"72.22"
"TS","On Sla2ers (ex)","Sova",55,39,"70.91"
"soulcas","Team Liquid","Skye",55,39,"70.91"
"Zest","DRX","Brimstone",37,26,"70.27"
"WRONSKI","ORDER (ex)","Chamber",37,26,"70.27"
"Meteor","NORTHEPTION (ex)","Chamber",37,26,"70.27"
"Hoody","G2 Esports (Inactive) (ex)","Skye",37,26,"70.27"
"Astell","Crazy Raccoon","KAY/O",37,26,"70.27"
