"Ign","Team","Opponents","Clutches","Clutch Failures"
"takej","Crest Gaming ZST (si)",,7,0
"sakurai","REJECT (si)",,2,0
"Reita","Crest Gaming ZST (si)",,3,0
"NeruFi","REJECT (si)",,2,0
"kobra","REJECT (si)",,3,1
"SamuraiDeeper","REJECT (si)",,2,1
"zepher","Crest Gaming ZST (si)",,2,1
"Hate","Jadeite (ex)",,3,2
"Blas","NAOS Esports",,1,1
"ZONBee","GyoGun",,2,2
"K1llgrave","DeToNator (ex)",,3,4
"Bazzi","On Sla2ers (si)",,6,9
"Killer0714","DetonatioN Gaming White",,2,3
"SSeeS","DetonatioN Gaming White (ex)",,4,6
"Envy","FENNEL (ex)",,5,8
"kobra","Sengoku Gaming (ex)",,3,5
"JinboongE","Brimstone (ex)",,4,7
"Jemkin","Crest Gaming ZST (ex)",,9,17
"hatty","ややーず (ex)",,1,2
"Ripper","Oasis Gaming",,1,2
"Haner","K2 eSports (ex)",,1,2
"Muj","BBL Esports (ex)",,2,4
"PTC","FULL SENSE (ex)",,5,10
"Eugene","DAMWON Gaming",,3,6
"NoriseN","Crest Gaming ZST (si)",,1,2
"YAYA","ややーず",,2,4
"Fung3","Griffin E-Sports",,13,26
"Texta","ORDER (ex)",,9,19
"Dreamas","Team Liquid (ex)",,8,17
"Vibhor","Velocity Gaming (ex)",,5,11
"GangPin","Sengoku Gaming (ex)",,4,9
"Luna","IXA",,4,9
"Lawrence","GoNGo Prince",,4,9
"ringring","CNJ Esports",,3,7
"glym","Liberty (ex)",,6,14
"AlKawai","Insomnia (ex)",,3,7
"Has1ra14","Maru Gaming (ex)",,2,5
"Meimoo","Rebellion Arts",,2,5
"柳ヶ瀬鈴乃","IXA (ex)",,2,5
"liazzi","Liberty",,10,25
"Knight","Pentagon",,4,10
"shura","Focus e-Sports",,2,5
"Brofeld","Jadeite",,5,13
"jEEE","NAOS Esports",,5,13
"TenzouEz","DeToNator (ex)",,3,8
"azys","South Built Esports (ex)",,3,8
"2GE","Rex Regum Qeon",,7,19
"b3ta","Made in Thailand",,9,25
"penny","Version1 (Inactive) (ex)",,9,25
"jzz","MIBR",,5,14
"LEXY","Bleed Esports (ex)",,6,17
"poem","IGZIST",,8,23
"Frosty","Knights (ex)",,8,23
"olzerr","PAMPAS (ex)",,10,29
"Nikumanyaro","SYSTEM e-Sports (ex)",,1,3
"NiSMO","Ghost Gaming (ex)",,7,21
"Jemkin","BLUE BEES.ESP (ex)",,4,12
"EndU","Team GP",,5,15
"arm1e","EVA:e (ex)",,1,3
"Anna","Next eSports (ex)",,1,3
"Suggest","DetonatioN Gaming White (ex)",,1,3
"xeta","Cloud9 (si)",,1,3
"dgzin","FURIA",,5,15
"Shiroe","Mariner",,1,3
"Xdll","BLUE BEES.ESP (ex)",,6,18
"gob b","BIG (ex)",,13,40
"Boo","LDN UTD (ex)",,10,31
"Kadoom","Made in Thailand",,9,28
"Rossy","TSM (ex)",,7,22
"Xander","FUSION",,6,19
"ChAlalala","FULL SENSE (ex)",,5,16
"ExiA","Spear Gaming",,13,42
"asteriskk","Persija Esports",,13,42
"UdoTan","GoNGo Prince (ex)",,4,13
"RgLMeister","Keyd Stars (si)",,4,13
"zennakukinn","BLUE BEES.ESP (ex)",,7,23
"MAGNUM","FNATIC (ex)",,13,43
"FuriousMeow","Oblivion Force",,3,10
"fl1pzjder","BOOM Esports (ex)",,20,67
"leaf","Cloud9",,16,54
"takej","REJECT (ex)",,16,54
"CTC","Los Grandes (ex)",,10,34
"bezn1","Ninjas in Pyjamas (ex)",,32,109
"Quick","FURIA",,17,59
"nAts","M3 Champions (ex)",,21,73
"stax","DRX",,48,167
"xeta","Cloud9 (ex)",,16,56
"Halbae","World Game Star (ex)",,2,7
"Chronicle","Gambit Esports (ex)",,4,14
"Anguuuuu","Storks Phalanx (ex)",,2,7
"skyeSG","No Namers (ex)",,2,7
"Zander","Version1 (Inactive) (ex)",,11,39
"SugarZ3ro","ZETA DIVISION",,36,129
"bnj","Ninjas in Pyjamas (ex)",,22,79
"GwangUh","Tartarus (ex)",,5,18
"LucasVade","Meta Gaming (ex)",,10,36
"Reformed","Evil Geniuses",,17,62
"bang","100 Thieves",,20,73
"mwzera","Keyd Stars (ex)",,29,106
"BandiCoot","E-Xolos LAZER",,9,33
"v1xen","Ninjas in Pyjamas (si)",,6,22
"Unnsto","EBRO Gaming (ex)",,3,11
"HaReeee","REJECT (ex)",,3,11
"Deryeon","Bleed Esports (ex)",,12,44
"maxie","Bleed Esports (ex)",,20,74
"pho","Evil Geniuses (ex)",,10,37
"dinkzj","Natus Vincere (ex)",,21,78
"Harry","Brimstone (si)",,4,15
"Rawkus","Sentinels (ex)",,4,15
"Ethan","NRG Esports (ex)",,12,45
"Kakarot","NAOS Esports",,4,15
"RyZzi","Desperado (ex)",,9,34
"Monyet","Onic Esports (ex)",,11,42
"JUGi","FOKUS",,6,23
"KimGyuTae","Desperado",,6,23
"Art","Sengoku Gaming (ex)",,6,23
"crws","XERXIA Esports (ex)",,20,77
"lukzera","TBK Esports",,21,81
"sScary","XERXIA Esports (ex)",,45,174
"Alfajer","FNATIC",,16,62
"mindfreak","Paper Rex",,35,137
"Zest","DRX",,29,114
"Destrian","OG LDN UTD (ex)",,13,52
"Vici","Sengoku Gaming",,3,12
"flainzz","INGAMING Esports (ex)",,4,16
"Learica","TRIDENT (ex)",,1,4
"Apinya","FW Esports (ex)",,2,8
"akashi","CERBERUS Esports (ex)",,9,36
"Myself","AWS",,1,4
"Twinte","looking for a name (ex)",,1,4
"STYRON","Gaimin Gladiators (ex)",,3,12
"adrnking","Alter Ego",,8,32
"aproto","Ghost Gaming (ex)",,9,36
"iNTRO","DAMWON Gaming (ex)",,2,8
"Torrify","FUSION (ex)",,5,20
"Jremy","Team Secret",,7,28
"Benecia","CNJ Esports",,16,65
"BORKUM","Team Secret",,12,49
"lenne","Bleed Esports (ex)",,19,78
"kon4n","TBK Esports (ex)",,16,66
"trexx","Guild Esports",,22,91
"Marved","OpTic Gaming",,50,209
"Benkai","Paper Rex",,36,151
"pANcada","LOUD (ex)",,30,126
"ANDROID","NRG Esports (ex)",,5,21
"Mazino","KRÜ Esports (ex)",,24,101
"RHZ","Keyd Stars (ex)",,13,55
"AvovA","G2 Esports (Inactive) (ex)",,29,123
"RgLMeister","INGAMING Esports (ex)",,8,34
"NoriseN","REJECT (ex)",,8,34
"zepher","REJECT (ex)",,14,60
"Dispenser","Team Secret",,7,30
"mixwell","G2 Esports (Inactive) (ex)",,20,86
"BerserX","BOOM Esports",,13,56
"Meteor","NORTHEPTION (ex)",,13,56
"JoXJo","NORTHEPTION (ex)",,16,69
"Jonn","Ninjas in Pyjamas (ex)",,19,82
"Medusa","REJECT (ex)",,12,52
"Shao","FunPlus Phoenix (ex)",,56,244
"k1Ng","On Sla2ers (ex)",,19,83
"koldamenta","Guild Esports",,23,101
"Zellsis","Version1 (Inactive) (ex)",,5,22
"poised","Rise (ex)",,5,22
"AsLanM4shadoW","BBL Esports",,10,44
"ParkJJong","Tartarus (ex)",,9,40
"Redgar","M3 Champions (ex)",,11,49
"wannafly","Made in Thailand",,17,76
"CHICHOO","EDward Gaming",,4,18
"skrawl","Bonkers(OCE) (ex)",,4,18
"sakurai","Hexad (ex)",,2,9
"keznit","KRÜ Esports (ex)",,22,99
"Nivera","Team Liquid (ex)",,34,154
"Victor","OpTic Gaming (ex)",,27,123
"Shyy","Leviatán",,14,64
"nAts","M3 Champions (ex)",,24,110
"Lok1","CERBERUS Esports (ex)",,10,46
"Jamppi","Team Liquid",,28,129
"Rainy","Griffin E-Sports",,8,37
"Delz1k","KRÜ Esports (ex)",,27,125
"RIPablo","IGZIST",,9,42
"neptune","Rise (ex)",,3,14
