"Ign","Team","Defusals"
"Shao","FunPlus Phoenix (ex)","57"
"crashies","OpTic Gaming (ex)","51"
"yay","OpTic Gaming (ex)","49"
"trent","The Guard","43"
"Zyppan","FunPlus Phoenix (ex)","41"
"Mistic","FNATIC (ex)","41"
"Marved","OpTic Gaming","41"
"AvovA","G2 Esports (Inactive) (ex)","41"
"Sacy","LOUD (ex)","41"
"BcJ","XSET (ex)","40"
"adverso","Leviatán (ex)","39"
"mwzera","Keyd Stars (ex)","39"
"Rb","DRX","38"
"FNS","OpTic Gaming (ex)","37"
"Victor","OpTic Gaming (ex)","37"
"ScreaM","Team Liquid (ex)","36"
"Derrek","100 Thieves","36"
"Laz","ZETA DIVISION","35"
"sheydos","M3 Champions","34"
"Cryocells","XSET (ex)","34"
"Jamppi","Team Liquid","33"
"stax","DRX","33"
"MaKo","DRX","33"
"soulcas","Team Liquid","33"
"NagZ","KRÜ Esports","33"
"AYRIN","XSET (ex)","33"
"Tacolilla","Leviatán","32"
"zekken","XSET (ex)","32"
"Mazino","KRÜ Esports (ex)","31"
"eeiu","NRG Esports (ex)","31"
"neT","The Guard","30"
"Leo","Guild Esports (ex)","30"
"pANcada","LOUD (ex)","30"
"Asuna","100 Thieves","30"
"Esperanza","DAMWON Gaming","29"
"kon4n","TBK Esports (ex)","29"
"SUYGETSU","FunPlus Phoenix (ex)","29"
"Boaster","FNATIC","29"
"iRdy","World Game Star","29"
"Less","LOUD","29"
"crow","ZETA DIVISION","29"
"ShahZaM","Sentinels (ex)","29"
"Enzo","FNATIC (ex)","29"
"TENNN","ZETA DIVISION","28"
"SugarZ3ro","ZETA DIVISION","27"
"WIX","Maru Gaming (ex)","27"
"Nozwerr","FURIA (ex)","27"
"bezn1","Ninjas in Pyjamas (ex)","27"
"Melser","Leviatán (ex)","27"
"cauanzin","Ninjas in Pyjamas (ex)","26"
"LOB","FAV gaming","26"
"kiNgg","Leviatán","26"
"Xeppaa","Cloud9","26"
"Alfajer","FNATIC","26"
"Astell","Crazy Raccoon","26"
"nukkye","G2 Esports (Inactive) (ex)","26"
"trexx","Guild Esports","26"
"TS","On Sla2ers (ex)","26"
"ardiis","FunPlus Phoenix (ex)","25"
"foxz","XERXIA Esports (ex)","25"
"GODLIKE","World Game Star (ex)","25"
"Shiro","Onic Esports (ex)","25"
"Derke","FNATIC","25"
"Jeong Hi","Maru Gaming (ex)","25"
"neth","Crazy Raccoon","24"
"d4v41","Paper Rex","24"
"murizzz","Keyd Stars (ex)","24"
"dephh","XSET (ex)","24"
"BerserX","BOOM Esports","24"
"Zest","DRX","24"
"Saadhak","LOUD","24"
"Hoody","G2 Esports (Inactive) (ex)","24"
"Bazzi","On Sla2ers (ex)","24"
"k1Ng","On Sla2ers (ex)","24"
"supamen","FaZe Clan","24"
"Sayf","Guild Esports (ex)","24"
"T3xture","DAMWON Gaming (ex)","23"
"mitch","Cloud9 (ex)","23"
"NakJi","Maru Gaming (ex)","23"
"sheydos","M3 Champions (ex)","23"
"vanity","Cloud9","23"
"Benkai","Paper Rex","23"
"fl1pzjder","BOOM Esports (ex)","23"
"aspas","LOUD","23"
"Sylvan","World Game Star","23"
"Redgar","M3 Champions","23"
"JonahP","The Guard","22"
"L1NK","Team Liquid (ex)","22"
"Klaus","KRÜ Esports","22"
"Dep","ZETA DIVISION","22"
"mindfreak","Paper Rex","21"
"Sayaplayer","The Guard (ex)","21"
"Khalil","FURIA","21"
"Luke","World Game Star","21"
"JoXJo","NORTHEPTION (ex)","21"
"sScary","XERXIA Esports (ex)","21"
"lukzera","TBK Esports","21"
"popogachi","Crazy Raccoon","20"
"keznit","KRÜ Esports (ex)","20"
"Duno","Natus Vincere (ex)","20"
"tehbotol","BOOM Esports (ex)","20"
"flyuh","FaZe Clan (ex)","20"
"mixwell","G2 Esports (Inactive) (ex)","19"
"matheuzin","TBK Esports","19"
"f0rsakeN","Paper Rex","19"
"Quick","FURIA","19"
"blaZek1ng","BOOM Esports","19"
"Jeong Hi","DAMWON Gaming (ex)","19"
"Redgar","M3 Champions (ex)","19"
"BuZz","DRX","19"
"Delz1k","KRÜ Esports (ex)","19"
"mada","Luminosity Gaming (ex)","19"
"xand","Ninjas in Pyjamas (ex)","18"
"SEVERiNE","Onic Esports (ex)","18"
"Monyet","Onic Esports (ex)","18"
"Moose","Luminosity Gaming (ex)","18"
"NcSlasher","Onic Esports (ex)","18"
"Medusa","REJECT (ex)","18"
"valyn","The Guard (ex)","18"
"MOLSI","OG LDN UTD (ex)","18"
"bang","100 Thieves","18"
"Meddo","G2 Esports (Inactive) (ex)","18"
"Will","100 Thieves (ex)","18"
"ANGE1","FunPlus Phoenix (ex)","18"
"koldamenta","Guild Esports","18"
"Ethan","NRG Esports (ex)","18"
"valyn","The Guard","18"
"xeta","Cloud9 (ex)","18"
"Nivera","Team Liquid (ex)","17"
"dapr","Sentinels (ex)","17"
"Lmemore","Onic Esports (ex)","17"
"Destrian","OG LDN UTD (ex)","17"
"Meiy","Crazy Raccoon","17"
"xnfri","NORTHEPTION (ex)","17"
"Jonn","Ninjas in Pyjamas (ex)","17"
"stellar","100 Thieves","17"
"mazin","FURIA","17"
"AloNeFillz","Made in Thailand","17"
"bnj","Ninjas in Pyjamas (ex)","16"
"RHZ","Keyd Stars (ex)","16"
"s0m","NRG Esports","16"
"aimDLL","BBL Esports","16"
"Reformed","Evil Geniuses","16"
"poised","FaZe Clan","16"
"heat","Keyd Stars (ex)","16"
"crws","XERXIA Esports (ex)","16"
"Russ","Guild Esports (ex)","16"
"zunba","On Sla2ers (ex)","16"
"dinkzj","Natus Vincere (ex)","16"
"jawgemo","Evil Geniuses","15"
"hazed","NRG Esports (ex)","15"
"DeNaro","MIBR (ex)","15"
"dicey","FaZe Clan","15"
"ryotzz","TBK Esports","15"
"Zellsis","Version1 (Inactive) (ex)","15"
"Jinggg","Paper Rex","15"
"GodDead","On Sla2ers","15"
"RgLMeister","Keyd Stars (ex)","15"
"Moves","Maru Gaming (ex)","15"
"TiGG","Luminosity Gaming (ex)","14"
"JhoW","Keyd Stars (ex)","14"
"dazzLe","Luminosity Gaming (ex)","14"
"C0M","Evil Geniuses","14"
