"Ign","Team","Multikills"
"yay","OpTic Gaming (ex)",546
"Marved","OpTic Gaming",431
"Victor","OpTic Gaming (ex)",419
"BuZz","DRX",408
"ardiis","FunPlus Phoenix (ex)",395
"Zyppan","FunPlus Phoenix (ex)",393
"Rb","DRX",377
"nAts","M3 Champions (ex)",370
"crashies","OpTic Gaming (ex)",364
"Shao","FunPlus Phoenix (ex)",359
"ScreaM","Team Liquid (ex)",359
"Chronicle","M3 Champions (ex)",356
"keznit","KRÜ Esports (ex)",344
"MaKo","DRX",342
"Derke","FNATIC",334
"xand","Ninjas in Pyjamas (ex)",334
"Cryocells","XSET (ex)",331
"Tacolilla","Leviatán",328
"SUYGETSU","FunPlus Phoenix (ex)",328
"aspas","LOUD",322
"f0rsakeN","Paper Rex",316
"Jamppi","Team Liquid",313
"stax","DRX",309
"heat","Keyd Stars (ex)",299
"Zest","DRX",297
"Jinggg","Paper Rex",291
"kiNgg","Leviatán",288
"T3xture","DAMWON Gaming (ex)",284
"Mazino","KRÜ Esports (ex)",284
"Less","LOUD",281
"FNS","OpTic Gaming (ex)",280
"mwzera","Keyd Stars (ex)",279
"NagZ","KRÜ Esports",277
"Nivera","Team Liquid (ex)",275
"zekken","XSET (ex)",272
"Laz","ZETA DIVISION",272
"Surf","XERXIA Esports (ex)",267
"adverso","Leviatán (ex)",264
"Dep","ZETA DIVISION",261
"Sayf","Guild Esports (ex)",260
"cauanzin","Ninjas in Pyjamas (ex)",257
"Saadhak","LOUD",251
"sScary","XERXIA Esports (ex)",250
"bezn1","Ninjas in Pyjamas (ex)",247
"soulcas","Team Liquid",246
"nukkye","G2 Esports (Inactive) (ex)",245
"Mistic","FNATIC (ex)",243
"Sayaplayer","The Guard (ex)",240
"leaf","Cloud9",240
"HANN","World Game Star",237
"Hoody","G2 Esports (Inactive) (ex)",237
"Chibab","Maru Gaming",237
"Sylvan","World Game Star",235
"SugarZ3ro","ZETA DIVISION",235
"ANGE1","FunPlus Phoenix (ex)",234
"Melser","Leviatán (ex)",234
"pANcada","LOUD (ex)",233
"trexx","Guild Esports",231
"TENNN","ZETA DIVISION",226
"Sacy","LOUD (ex)",223
"Jonn","Ninjas in Pyjamas (ex)",221
"Leo","Guild Esports (ex)",221
"Asuna","100 Thieves",218
"foxz","XERXIA Esports (ex)",218
"Boaster","FNATIC",217
