"Ign","Team","Spend"
"Victor","OpTic Gaming (ex)","6060300"
"FNS","OpTic Gaming (ex)","6036550"
"Marved","OpTic Gaming","6018150"
"crashies","OpTic Gaming (ex)","5831100"
"yay","OpTic Gaming (ex)","5586050"
"Zyppan","FunPlus Phoenix (ex)","5238600"
"Shao","FunPlus Phoenix (ex)","4895550"
"Rb","DRX","4847300"
"ANGE1","FunPlus Phoenix (ex)","4736500"
"BuZz","DRX","4622950"
"ardiis","FunPlus Phoenix (ex)","4596350"
"Zest","DRX","4525900"
"stax","DRX","4513300"
"SUYGETSU","FunPlus Phoenix (ex)","4427900"
"ScreaM","Team Liquid (ex)","4347650"
"MaKo","DRX","4317250"
"soulcas","Team Liquid","4192150"
"Jamppi","Team Liquid","4036600"
"Nivera","Team Liquid (ex)","4015250"
"Mazino","KRÜ Esports (ex)","3962600"
"adverso","Leviatán (ex)","3857400"
"keznit","KRÜ Esports (ex)","3852300"
"kiNgg","Leviatán","3829200"
"Mistic","FNATIC (ex)","3793800"
"bezn1","Ninjas in Pyjamas (ex)","3719200"
"Jonn","Ninjas in Pyjamas (ex)","3719100"
"xand","Ninjas in Pyjamas (ex)","3707350"
"Klaus","KRÜ Esports","3706450"
"Delz1k","KRÜ Esports (ex)","3687100"
"Melser","Leviatán (ex)","3658900"
"Boaster","FNATIC","3642450"
"dephh","XSET (ex)","3620200"
"cauanzin","Ninjas in Pyjamas (ex)","3609500"
"zekken","XSET (ex)","3558450"
"Jinggg","Paper Rex","3498950"
"NagZ","KRÜ Esports","3483000"
"Saadhak","LOUD","3475050"
"Tacolilla","Leviatán","3446400"
"AYRIN","XSET (ex)","3440000"
"Derke","FNATIC","3438050"
"aspas","LOUD","3430250"
"mwzera","Keyd Stars (ex)","3430000"
"BcJ","XSET (ex)","3385000"
"murizzz","Keyd Stars (ex)","3378800"
"pANcada","LOUD (ex)","3373100"
"Sacy","LOUD (ex)","3369250"
"crws","XERXIA Esports (ex)","3347750"
"TENNN","ZETA DIVISION","3347150"
"Dep","ZETA DIVISION","3327650"
"Cryocells","XSET (ex)","3321050"
"f0rsakeN","Paper Rex","3315500"
"heat","Keyd Stars (ex)","3303250"
"Less","LOUD","3273650"
"foxz","XERXIA Esports (ex)","3273300"
"Surf","XERXIA Esports (ex)","3241700"
"sushiboys","XERXIA Esports (ex)","3229350"
"Hoody","G2 Esports (Inactive) (ex)","3227900"
"nukkye","G2 Esports (Inactive) (ex)","3188200"
"sScary","XERXIA Esports (ex)","3187350"
"Chibab","Maru Gaming","3183150"
"Laz","ZETA DIVISION","3121050"
"Asuna","100 Thieves","3091950"
"trexx","Guild Esports","3084050"
"SugarZ3ro","ZETA DIVISION","3082500"
"crow","ZETA DIVISION","3040050"
"Leo","Guild Esports (ex)","3019500"
"Esperanza","DAMWON Gaming","3017650"
"koldamenta","Guild Esports","3014900"
"JonahP","The Guard","3014050"
"Benkai","Paper Rex","3011600"
"mindfreak","Paper Rex","3001350"
"HANN","World Game Star","2938950"
"d4v41","Paper Rex","2930700"
"Meddo","G2 Esports (Inactive) (ex)","2917400"
"neT","The Guard","2916400"
"T3xture","DAMWON Gaming (ex)","2913000"
"GODLIKE","World Game Star (ex)","2898300"
"valyn","The Guard (ex)","2891900"
"valyn","The Guard","2891900"
"AvovA","G2 Esports (Inactive) (ex)","2885450"
"WIX","Maru Gaming (ex)","2880750"
"NakJi","Maru Gaming (ex)","2877450"
"Sayaplayer","The Guard (ex)","2877350"
"Sayf","Guild Esports (ex)","2853800"
"Exy","DAMWON Gaming","2848150"
"mazin","FURIA","2829350"
"Sylvan","World Game Star","2815750"
"trent","The Guard","2805050"
"iRdy","World Game Star","2780900"
"Xeppaa","Cloud9","2714700"
"Khalil","FURIA","2700550"
"leaf","Cloud9","2686150"
"Luke","World Game Star","2673650"
"mixwell","G2 Esports (Inactive) (ex)","2672600"
"bang","100 Thieves","2658100"
"Quick","FURIA","2653150"
"Russ","Guild Esports (ex)","2636600"
"Nozwerr","FURIA (ex)","2628850"
"Alfajer","FNATIC","2603100"
"sheydos","M3 Champions","2599150"
"Redgar","M3 Champions","2548250"
"vanity","Cloud9","2545400"
"Chronicle","M3 Champions (ex)","2519150"
"nAts","M3 Champions (ex)","2517500"
"Enzo","FNATIC (ex)","2506100"
"fl1pzjder","BOOM Esports (ex)","2498350"
"mitch","Cloud9 (ex)","2474050"
"GodDead","On Sla2ers","2467900"
"BerserX","BOOM Esports","2389850"
"blaZek1ng","BOOM Esports","2387850"
"tehbotol","BOOM Esports (ex)","2370800"
"Bazzi","On Sla2ers (ex)","2330300"
"BABYBAY","FaZe Clan","2316450"
"Will","100 Thieves (ex)","2313400"
"Derrek","100 Thieves","2304750"
"k1Ng","On Sla2ers (ex)","2268350"
"dapr","Sentinels (ex)","2248650"
"stellar","100 Thieves","2247100"
"kon4n","TBK Esports (ex)","2239950"
"s0m","NRG Esports","2233750"
"ShahZaM","Sentinels (ex)","2225750"
"TS","On Sla2ers (ex)","2206300"
"NcSlasher","Onic Esports (ex)","2191100"
"Monyet","Onic Esports (ex)","2175800"
"jawgemo","Evil Geniuses","2175500"
"poised","FaZe Clan","2167650"
"zunba","On Sla2ers (ex)","2167550"
"eeiu","NRG Esports (ex)","2165100"
"SEVERiNE","Onic Esports (ex)","2150750"
"Meteor","NORTHEPTION (ex)","2147300"
