"Team","Map","Comp","Picks"
"OpTic Gaming","Bind","Brimstone, Chamber, Raze, Skye, Viper",17
"Bleed Esports","Ascent","Breach, Jett, Killjoy, Omen, Sova",15
"LOUD","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",15
"ZETA DIVISION","Bind","Astra, Raze, Sage, Skye, Viper",15
"OpTic Gaming","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",14
"DRX","Breeze","Chamber, Jett, Skye, Sova, Viper",13
"FunPlus Phoenix","Ascent","Chamber, Fade, KAY/O, Omen, Sage",11
"XERXIA Esports","Icebox","Jett, Killjoy, Sage, Sova, Viper",11
"ZETA DIVISION","Icebox","Chamber, Jett, Sage, Sova, Viper",11
"FURIA","Breeze","Chamber, Jett, KAY/O, Sova, Viper",10
"Crazy Raccoon","Ascent","Jett, Killjoy, Omen, Skye, Sova",9
"FNATIC","Icebox","Chamber, Killjoy, Sage, Sova, Viper",9
"FunPlus Phoenix","Fracture","Chamber, Fade, Omen, Raze, Viper",9
"G2 Esports (Inactive)","Icebox","Chamber, Killjoy, Sage, Sova, Viper",9
"Maru Gaming","Bind","Astra, Chamber, Jett, Skye, Viper",9
"Ninjas in Pyjamas","Split","Cypher, Jett, Omen, Raze, Sage",9
"On Sla2ers","Haven","Astra, Breach, Jett, Killjoy, Sova",9
"OpTic Gaming","Icebox","Chamber, KAY/O, Sage, Sova, Viper",9
"XSET","Bind","Astra, Chamber, Raze, Skye, Viper",9
"ZETA DIVISION","Haven","Astra, Breach, Jett, Killjoy, Skye",9
"FunPlus Phoenix","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",8
"G2 Esports (Inactive)","Bind","Astra, Chamber, Raze, Skye, Viper",8
"KRÜ Esports","Icebox","Chamber, KAY/O, Sage, Sova, Viper",8
"Leviatán","Ascent","Astra, Chamber, Fade, KAY/O, Sova",8
"Ninjas in Pyjamas","Icebox","Jett, Reyna, Sage, Sova, Viper",8
"OpTic Gaming","Breeze","Chamber, Jett, KAY/O, Sova, Viper",8
"Team Liquid","Bind","Breach, Chamber, Fade, Omen, Raze",8
"World Game Star","Ascent","Astra, Breach, Jett, Killjoy, Sova",8
"100 Thieves","Breeze","Cypher, Jett, KAY/O, Sova, Viper",7
"Alter Ego","Bind","Brimstone, Chamber, Fade, Raze, Skye",7
"DRX","Ascent","Astra, Chamber, Jett, Skye, Sova",7
"Evil Geniuses","Breeze","Chamber, Jett, KAY/O, Sova, Viper",7
"Leviatán","Haven","Breach, Chamber, Fade, Omen, Raze",7
"M3 Champions","Breeze","Chamber, Jett, Skye, Sova, Viper",7
"Movistar Optix","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",7
"OpTic Gaming","Ascent","Astra, Chamber, Fade, KAY/O, Sova",7
"Team Liquid","Icebox","Chamber, Fade, Raze, Sage, Viper",7
"XSET","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",7
"XSET","Haven","Breach, Chamber, Jett, Omen, Skye",7
"ZETA DIVISION","Fracture","Astra, Breach, Chamber, Raze, Viper",7
"BOOM Esports","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",6
"DRX","Haven","Breach, Jett, Killjoy, Omen, Sova",6
"EBRO Gaming","Ascent","Astra, Jett, Killjoy, Skye, Sova",6
"Evil Geniuses","Icebox","Chamber, Jett, Sage, Sova, Viper",6
"FaZe Clan","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",6
"FNATIC","Bind","Astra, Fade, Raze, Skye, Viper",6
"FunPlus Phoenix","Bind","Brimstone, Fade, KAY/O, Raze, Viper",6
"KRÜ Esports","Breeze","Chamber, Jett, KAY/O, Sova, Viper",6
"Leviatán","Bind","Brimstone, Chamber, Raze, Skye, Viper",6
"Leviatán","Icebox","Chamber, KAY/O, Sage, Sova, Viper",6
"Los Grandes","Bind","Astra, Breach, Chamber, Fade, Raze",6
"Maru Gaming","Breeze","Chamber, Jett, KAY/O, Sova, Viper",6
"Ninjas in Pyjamas","Ascent","Fade, Jett, Killjoy, Omen, Sova",6
"NORTHEPTION","Haven","Astra, Breach, Jett, Killjoy, Skye",6
"Onic Esports","Icebox","Chamber, Jett, Sage, Sova, Viper",6
"OpTic Gaming","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",6
"Paper Rex","Fracture","Breach, Chamber, Neon, Raze, Viper",6
"Paper Rex","Haven","Astra, Chamber, Fade, Raze, Sage",6
"Paper Rex","Split","Cypher, Jett, Omen, Raze, Sage",6
"TBK Esports","Bind","Astra, Chamber, Raze, Skye, Viper",6
"Version1 (Inactive)","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",6
"World Game Star","Bind","Breach, Chamber, Neon, Omen, Skye",6
"XERXIA Esports","Haven","Astra, Breach, Jett, Killjoy, Skye",6
"100 Thieves","Ascent","Chamber, Fade, KAY/O, Omen, Sage",5
"Acend","Split","Cypher, Jett, Omen, Raze, Sage",5
"CERBERUS Esports","Ascent","Astra, Breach, Chamber, Jett, Sova",5
"Cloud9","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",5
"Cloud9","Fracture","Breach, Brimstone, Chamber, Raze, Sage",5
"CNJ Esports","Ascent","Chamber, Fade, KAY/O, Omen, Raze",5
"DAMWON Gaming","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",5
"DRX","Ascent","Astra, Chamber, Fade, KAY/O, Sova",5
"DRX","Bind","Breach, Brimstone, Chamber, Fade, Neon",5
"DRX","Split","Astra, Jett, Sage, Skye, Viper",5
"FNATIC","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",5
"FURIA","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",5
"G2 Esports (Inactive)","Haven","Astra, Breach, Killjoy, Neon, Sova",5
"Ghost Gaming","Breeze","Chamber, Jett, KAY/O, Sova, Viper",5
"Guild Esports","Breeze","Cypher, Jett, Skye, Sova, Viper",5
"Keyd Stars","Breeze","Chamber, Jett, Skye, Sova, Viper",5
"Keyd Stars","Haven","Breach, Chamber, Omen, Raze, Skye",5
"Keyd Stars","Icebox","Jett, Killjoy, Sage, Sova, Viper",5
"KRÜ Esports","Ascent","Chamber, Fade, Omen, Raze, Sova",5
"KRÜ Esports","Bind","Brimstone, Chamber, Raze, Skye, Viper",5
"KRÜ Esports","Haven","Breach, Chamber, Fade, Neon, Omen",5
"Los Grandes","Icebox","Chamber, Fade, Sage, Sova, Viper",5
"LOUD","Bind","Brimstone, Fade, Raze, Skye, Viper",5
"LOUD","Breeze","Chamber, Jett, KAY/O, Sova, Viper",5
"LOUD","Fracture","Breach, Brimstone, Chamber, Raze, Sage",5
"LOUD","Haven","Breach, Chamber, Fade, Omen, Raze",5
"Maru Gaming","Ascent","Astra, Chamber, Jett, KAY/O, Sova",5
"Maru Gaming","Fracture","Astra, Breach, Chamber, Jett, KAY/O",5
"Maru Gaming","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",5
"Ninjas in Pyjamas","Breeze","Cypher, Jett, Reyna, Sova, Viper",5
"Ninjas in Pyjamas","Haven","Chamber, KAY/O, Neon, Omen, Skye",5
"Onic Esports","Haven","Chamber, KAY/O, Neon, Omen, Sova",5
"On Sla2ers","Breeze","Cypher, KAY/O, Sova, Viper, Yoru",5
"OpTic Gaming","Ascent","Brimstone, Jett, KAY/O, Killjoy, Sova",5
"OpTic Gaming","Split","Astra, Breach, Chamber, KAY/O, Neon",5
"Paper Rex","Ascent","Astra, Chamber, Fade, KAY/O, Raze",5
"Team Liquid","Ascent","Chamber, Fade, KAY/O, Omen, Phoenix",5
"Team Liquid","Split","Astra, Breach, Cypher, Omen, Raze",5
"Team Liquid","Split","Astra, Breach, Cypher, Raze, Sage",5
"The Guard","Haven","Breach, Chamber, Jett, Omen, Skye",5
"The Guard","Icebox","Chamber, Jett, Omen, Sova, Viper",5
"World Game Star","Bind","Neon, Omen, Reyna, Sage, Skye",5
"World Game Star","Breeze","Chamber, Jett, KAY/O, Sova, Viper",5
"XERXIA Esports","Haven","Astra, Breach, Jett, Killjoy, Sova",5
"XSET","Breeze","Cypher, Jett, KAY/O, Sova, Viper",5
"100 Thieves","Haven","Chamber, Fade, Omen, Raze, Sage",4
"100 Thieves","Icebox","Killjoy, Raze, Sage, Sova, Viper",4
"9z Team","Haven","Astra, Breach, Jett, Killjoy, Sova",4
"9z Team","Haven","Breach, Jett, Killjoy, Omen, Sova",4
"Acend","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",4
"Alter Ego","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",4
"BBL Esports","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",4
"BBL Esports","Fracture","Breach, Brimstone, Chamber, Neon, Sage",4
"BOOM Esports","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",4
"BOOM Esports","Haven","Astra, Breach, Jett, Killjoy, Sova",4
"BOOM Esports","Icebox","Chamber, Killjoy, Sage, Sova, Viper",4
"Cloud9","Icebox","Chamber, Fade, KAY/O, Sage, Viper",4
"CNJ Esports","Split","Chamber, KAY/O, Omen, Raze, Sage",4
"Crazy Raccoon","Icebox","Jett, Reyna, Sage, Sova, Viper",4
"DAMWON Gaming","Bind","Breach, Brimstone, Chamber, Raze, Skye",4
"DAMWON Gaming","Haven","Astra, Breach, Jett, Killjoy, Sova",4
"DAMWON Gaming","Split","Astra, Chamber, Jett, Sage, Viper",4
"DAMWON Gaming","Split","Breach, Chamber, Jett, Omen, Sage",4
"Desperado","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",4
"DRX","Ascent","Astra, Fade, Jett, KAY/O, Sova",4
"DRX","Fracture","Brimstone, Chamber, Fade, KAY/O, Neon",4
"DRX","Haven","Astra, Breach, Jett, Killjoy, Sova",4
"DRX","Haven","Breach, Fade, Jett, Killjoy, Omen",4
"DRX","Icebox","Jett, KAY/O, Sage, Sova, Viper",4
"FaZe Clan","Breeze","Chamber, Jett, KAY/O, Sova, Viper",4
"FaZe Clan","Breeze","Chamber, KAY/O, Neon, Sova, Viper",4
"FaZe Clan","Icebox","Chamber, KAY/O, Sage, Sova, Viper",4
"FaZe Clan","Split","Astra, Breach, Chamber, KAY/O, Neon",4
"FNATIC","Haven","Breach, Chamber, Omen, Raze, Sova",4
"FNATIC","Icebox","Jett, Killjoy, Sage, Sova, Viper",4
"FNATIC","Split","Chamber, Fade, Omen, Raze, Viper",4
"FULL SENSE","Bind","Astra, Chamber, Jett, Skye, Sova",4
"FunPlus Phoenix","Breeze","Chamber, KAY/O, Sova, Viper, Yoru",4
"FunPlus Phoenix","Haven","Chamber, Fade, Omen, Raze, Sage",4
"FunPlus Phoenix","Icebox","Chamber, Fade, KAY/O, Sage, Viper",4
"FunPlus Phoenix","Icebox","Chamber, Fade, Raze, Sage, Viper",4
"FURIA","Ascent","Chamber, KAY/O, Omen, Raze, Sova",4
"Griffin E-Sports","Breeze","Chamber, Jett, KAY/O, Sova, Viper",4
"Guild Esports","Fracture","Breach, Brimstone, Chamber, Raze, Sage",4
"HolyMolly","Breeze","Chamber, Jett, KAY/O, Sova, Viper",4
"IGZIST","Breeze","Chamber, Jett, KAY/O, Sova, Viper",4
"Jadeite","Icebox","Chamber, Jett, Sage, Sova, Viper",4
"Keyd Stars","Bind","Brimstone, Chamber, Raze, Skye, Viper",4
"Keyd Stars","Fracture","Breach, Brimstone, Chamber, Raze, Sage",4
"Keyd Stars","Split","Breach, Chamber, Omen, Raze, Sage",4
"Knights","Ascent","Astra, Jett, Killjoy, Sage, Sova",4
"KRÜ Esports","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",4
"KRÜ Esports","Bind","Brimstone, Raze, Sage, Skye, Viper",4
"KRÜ Esports","Haven","Astra, Cypher, Jett, Phoenix, Sova",4
"KRÜ Esports","Haven","Cypher, Jett, Omen, Phoenix, Sova",4
"KRÜ Esports","Split","Astra, Jett, Raze, Skye, Viper",4
"LDN UTD","Haven","Astra, Breach, Jett, Killjoy, Sova",4
"Leviatán","Breeze","Chamber, Jett, KAY/O, Sova, Viper",4
"Leviatán","Breeze","Chamber, KAY/O, Skye, Sova, Viper",4
"Leviatán","Haven","Astra, Breach, Cypher, Jett, Sova",4
"Leviatán","Split","Astra, Breach, Chamber, KAY/O, Neon",4
"M3 Champions","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",4
"M3 Champions","Fracture","Breach, Brimstone, Cypher, Raze, Sage",4
"Maru Gaming","Bind","Breach, Brimstone, Chamber, Neon, Raze",4
"MIBR","Fracture","Breach, Brimstone, Chamber, Neon, Sage",4
"Natus Vincere","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",4
"Natus Vincere","Haven","Breach, Chamber, Fade, Omen, Raze",4
"Ninjas in Pyjamas","Haven","Cypher, Jett, KAY/O, Omen, Sova",4
"Ninjas in Pyjamas","Icebox","KAY/O, Killjoy, Neon, Omen, Viper",4
"NORTHEPTION","Ascent","Astra, Chamber, Fade, KAY/O, Killjoy",4
"NORTHEPTION","Fracture","Breach, Brimstone, Chamber, Neon, Raze",4
"NORTHEPTION","Haven","Breach, Jett, Killjoy, Omen, Skye",4
"NRG Esports","Ascent","Chamber, Fade, KAY/O, Omen, Raze",4
"NRG Esports","Icebox","Chamber, KAY/O, Sage, Sova, Viper",4
"Onic Esports","Ascent","Astra, Chamber, Fade, Jett, KAY/O",4
"Onic Esports","Breeze","Chamber, Jett, KAY/O, Sova, Viper",4
"Onic Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",4
"On Sla2ers","Ascent","Astra, Fade, KAY/O, Killjoy, Yoru",4
"On Sla2ers","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",4
"On Sla2ers","Bind","Brimstone, Raze, Sage, Skye, Viper",4
"On Sla2ers","Icebox","Jett, Killjoy, Sage, Sova, Viper",4
"OpTic Gaming","Haven","Breach, Chamber, Neon, Omen, Skye",4
"OpTic Gaming","Split","Astra, Chamber, Fade, KAY/O, Raze",4
"ORDER","Breeze","Chamber, Jett, KAY/O, Sova, Viper",4
"PAMPAS","Haven","Breach, Cypher, Omen, Raze, Sova",4
"Paper Rex","Bind","Breach, Brimstone, Fade, Raze, Yoru",4
"Paper Rex","Icebox","Chamber, Fade, Jett, Sage, Viper",4
"Paper Rex","Icebox","Chamber, Jett, Sage, Sova, Viper",4
"REJECT","Icebox","Chamber, Jett, Sage, Sova, Viper",4
"Sentinels","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",4
"Sentinels","Bind","Astra, Jett, Raze, Sova, Viper",4
"SunXet Club","Breeze","Astra, Chamber, KAY/O, Sova, Viper",4
"Tartarus","Breeze","Chamber, Jett, KAY/O, Sova, Viper",4
"Tartarus","Fracture","Breach, Brimstone, Chamber, Jett, KAY/O",4
"TBK Esports","Ascent","Jett, Killjoy, Omen, Sage, Sova",4
"Team GP","Ascent","Astra, Jett, Killjoy, Skye, Sova",4
"Team Liquid","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",4
"Team Secret","Breeze","Chamber, Jett, Skye, Sova, Viper",4
"Team Secret","Haven","Astra, Jett, KAY/O, Killjoy, Sova",4
"Team T5","Bind","Astra, Jett, Raze, Skye, Viper",4
"The Guard","Bind","Brimstone, Raze, Sage, Skye, Viper",4
"The Guard","Haven","Astra, Jett, Killjoy, Skye, Sova",4
"World Game Star","Fracture","Breach, Brimstone, Chamber, Neon, Viper",4
"World Game Star","Haven","Astra, Breach, Chamber, Jett, Sova",4
"XERXIA Esports","Ascent","Astra, Cypher, Jett, KAY/O, Sova",4
"XERXIA Esports","Bind","Astra, Chamber, Jett, Skye, Sova",4
"XSET","Bind","Astra, Jett, Raze, Sova, Viper",4
"XSET","Breeze","Astra, Jett, KAY/O, Sova, Viper",4
"XSET","Pearl","Astra, Chamber, Fade, KAY/O, Neon",4
"100 Thieves","Bind","Brimstone, Fade, Raze, Skye, Viper",3
"100 Thieves","Bind","Brimstone, Raze, Sage, Skye, Viper",3
"100 Thieves","Fracture","Astra, Breach, Chamber, Raze, Viper",3
"100 Thieves","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",3
"100 Thieves","Fracture","Breach, Brimstone, Chamber, Raze, Sage",3
"100 Thieves","Icebox","Chamber, KAY/O, Sage, Sova, Viper",3
"9z Team","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",3
"9z Team","Ascent","Chamber, KAY/O, Omen, Sage, Sova",3
"9z Team","Haven","Breach, Chamber, Fade, Omen, Raze",3
"Acend","Bind","Brimstone, Raze, Sage, Skye, Viper",3
"Acend","Bind","Chamber, Omen, Raze, Skye, Viper",3
"Acend","Breeze","Chamber, Fade, Neon, Skye, Viper",3
"Acend","Icebox","Chamber, KAY/O, Reyna, Sova, Viper",3
"Alter Ego","Haven","Breach, Brimstone, Cypher, Neon, Skye",3
"BIG","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",3
"BIG","Bind","Astra, Raze, Skye, Sova, Viper",3
"BIG","Split","Astra, Breach, Cypher, Jett, Sage",3
"Bleed Esports","Bind","Astra, Fade, Raze, Skye, Viper",3
"Bonkers(OCE)","Haven","Brimstone, Chamber, Raze, Sage, Sova",3
"BOOM Esports","Bind","Astra, Fade, Raze, Skye, Viper",3
"BOOM Esports","Breeze","Chamber, Jett, KAY/O, Sova, Viper",3
"BOOM Esports","Haven","Astra, Jett, Killjoy, Skye, Sova",3
"Brimstone","Breeze","Chamber, Jett, KAY/O, Sova, Viper",3
"CERBERUS Esports","Bind","Astra, Breach, Chamber, Fade, Raze",3
"Cloud9","Breeze","Chamber, Jett, KAY/O, Sova, Viper",3
"Cloud9","Breeze","Cypher, Jett, KAY/O, Sova, Viper",3
"Cloud9","Fracture","Chamber, Fade, Omen, Raze, Viper",3
"Cloud9","Haven","Breach, Chamber, Omen, Raze, Skye",3
"Cloud9","Haven","Breach, Jett, Killjoy, Omen, Skye",3
"CNJ Esports","Breeze","Chamber, Jett, Reyna, Sova, Viper",3
"CNJ Esports","Icebox","Chamber, Fade, Reyna, Sova, Viper",3
"Crazy Raccoon","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",3
"Crazy Raccoon","Bind","Brimstone, Jett, Killjoy, Skye, Sova",3
"Crazy Raccoon","Icebox","Jett, Killjoy, Reyna, Sova, Viper",3
"DAMWON Gaming","Ascent","Fade, Jett, KAY/O, Omen, Sage",3
"DAMWON Gaming","Bind","Astra, Raze, Sage, Skye, Viper",3
"DAMWON Gaming","Breeze","Chamber, Jett, KAY/O, Sova, Viper",3
"DAMWON Gaming","Haven","Astra, Breach, Chamber, Jett, Sova",3
"DAMWON Gaming","Haven","Astra, Jett, Killjoy, Skye, Sova",3
"Desperado","Haven","Astra, Jett, Killjoy, Raze, Reyna",3
"DRX","Bind","Brimstone, Chamber, Raze, Skye, Viper",3
"DRX","Breeze","Chamber, KAY/O, Skye, Sova, Viper",3
"EBRO Gaming","Breeze","Cypher, Jett, Skye, Sova, Viper",3
"Evil Geniuses","Bind","Brimstone, Chamber, Fade, Raze, Skye",3
"Fancy United Esports","Haven","Astra, Breach, Chamber, Omen, Skye",3
"FAV gaming","Fracture","Astra, Breach, Cypher, Raze, Sage",3
"FaZe Clan","Haven","Breach, Chamber, Neon, Omen, Skye",3
"FaZe Clan","Icebox","Chamber, KAY/O, Raze, Sova, Viper",3
"FNATIC","Ascent","Chamber, Fade, KAY/O, Omen, Raze",3
"FNATIC","Bind","Brimstone, Chamber, Raze, Skye, Viper",3
"FULL SENSE","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",3
"FunPlus Phoenix","Ascent","Fade, Jett, KAY/O, Omen, Sage",3
"FunPlus Phoenix","Breeze","Cypher, Jett, KAY/O, Sova, Viper",3
"FURIA","Fracture","Breach, Brimstone, Chamber, Raze, Viper",3
"FURIA","Icebox","Chamber, Jett, Sage, Sova, Viper",3
"FURIA","Icebox","Chamber, Killjoy, Sage, Sova, Viper",3
"FUSION","Breeze","Chamber, Jett, KAY/O, Sova, Viper",3
"G2 Esports (Inactive)","Bind","Chamber, Omen, Raze, Skye, Viper",3
"G2 Esports (Inactive)","Breeze","Chamber, Jett, KAY/O, Sova, Viper",3
"G2 Esports (Inactive)","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",3
"G2 Esports (Inactive)","Icebox","Jett, Killjoy, Sage, Sova, Viper",3
"G2 Esports (Inactive)","Split","Breach, Brimstone, Chamber, Raze, Sage",3
"G2 Esports (Inactive)","Split","Cypher, Jett, Omen, Raze, Sage",3
"Gamelanders Blue","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",3
"Ghost Gaming","Haven","Astra, Breach, Chamber, Fade, Raze",3
"Ghost Gaming","Icebox","Chamber, KAY/O, Sage, Sova, Viper",3
"Griffin E-Sports","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",3
"Guild Esports","Haven","Breach, Chamber, Fade, Omen, Raze",3
"Guild Esports","Haven","Breach, Jett, Killjoy, Omen, Sova",3
"Guild Esports","Icebox","Chamber, KAY/O, Sage, Sova, Viper",3
"HolyMolly","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",3
"HolyMolly","Split","Astra, KAY/O, Raze, Sage, Viper",3
"IGZIST","Fracture","Astra, Breach, Chamber, Raze, Viper",3
"INGAMING Esports","Breeze","Cypher, Jett, Skye, Sova, Viper",3
"Keyd Stars","Ascent","Jett, Killjoy, Omen, Sage, Sova",3
"Keyd Stars","Breeze","Cypher, Jett, KAY/O, Sova, Viper",3
"Keyd Stars","Breeze","Cypher, Jett, Neon, Sova, Viper",3
"Keyd Stars","Haven","Brimstone, Chamber, Jett, Sage, Sova",3
"Keyd Stars","Icebox","Chamber, Raze, Sage, Sova, Viper",3
"Knights","Breeze","Cypher, Jett, KAY/O, Sova, Viper",3
"KRÜ Esports","Haven","Breach, Chamber, Fade, Omen, Raze",3
"Leviatán","Ascent","Chamber, KAY/O, Neon, Omen, Sova",3
"Leviatán","Haven","Breach, Jett, Killjoy, Omen, Sova",3
"Leviatán","Split","Cypher, Jett, Omen, Raze, Sage",3
"LOUD","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",3
"LOUD","Bind","Astra, Raze, Skye, Sova, Viper",3
"LOUD","Breeze","Cypher, Jett, KAY/O, Sova, Viper",3
