"Team","Plants","Percentage Of Total Plants","Post Plant Attacking Wins","Post Plant Attacking Losses","Post Plant Win Percentage","Post Plant Loss Percentage","Opponent Plants","Percentage Of Total Opponent Plants","Post Plant Defending Wins","Post Plant Defending Losses","Post Plant Retake Success Percentage","Post Plant Retake Failure Percentage"
"ややーず",14,"100.00",9,5,"64.00","36.00",18,"100.00",6,12,"33.00","67.00"
"100 Thieves",348,"100.00",251,97,"72.00","28.00",386,"100.00",132,254,"34.00","66.00"
"9z Team",221,"100.00",161,60,"73.00","27.00",274,"100.00",58,216,"21.00","79.00"
"Acend",248,"100.00",167,81,"67.00","33.00",208,"100.00",45,163,"22.00","78.00"
"Alter Ego",123,"100.00",88,35,"72.00","28.00",139,"100.00",45,94,"32.00","68.00"
"AWS",9,"100.00",4,5,"44.00","56.00",13,"100.00",2,11,"15.00","85.00"
"BBL Esports",191,"100.00",126,65,"66.00","34.00",199,"100.00",57,142,"29.00","71.00"
"BIG",146,"100.00",93,53,"64.00","36.00",144,"100.00",33,111,"23.00","77.00"
"Bleed Esports",271,"100.00",205,66,"76.00","24.00",220,"100.00",60,160,"27.00","73.00"
"BLUE BEES.ESP",104,"100.00",64,40,"62.00","38.00",81,"100.00",33,48,"41.00","59.00"
"Bonkers(OCE)",54,"100.00",35,19,"65.00","35.00",53,"100.00",14,39,"26.00","74.00"
"BOOM Esports",291,"100.00",200,91,"69.00","31.00",302,"100.00",99,203,"33.00","67.00"
"Brimstone",44,"100.00",32,12,"73.00","27.00",42,"100.00",14,28,"33.00","67.00"
"CERBERUS Esports",74,"100.00",42,32,"57.00","43.00",94,"100.00",30,64,"32.00","68.00"
"Cloud9",357,"100.00",242,115,"68.00","32.00",298,"100.00",112,186,"38.00","62.00"
"CNJ Esports",147,"100.00",98,49,"67.00","33.00",162,"100.00",55,107,"34.00","66.00"
"Crazy Raccoon",242,"100.00",174,68,"72.00","28.00",281,"100.00",99,182,"35.00","65.00"
"Crest Gaming ZST",68,"100.00",37,31,"54.00","46.00",76,"100.00",20,56,"26.00","74.00"
"DAMWON Gaming",417,"100.00",297,120,"71.00","29.00",356,"100.00",110,246,"31.00","69.00"
"Desperado",131,"100.00",85,46,"65.00","35.00",142,"100.00",35,107,"25.00","75.00"
