"Team","Wins","Losses"
"ややーず",20,26
"100 Thieves",600,585
"9z Team",365,444
"Acend",367,408
"Alter Ego",242,233
"AWS",6,26
"BBL Esports",250,305
"BIG",234,301
"Bleed Esports",407,385
"BLUE BEES.ESP",145,133
"Bonkers(OCE)",87,91
"BOOM Esports",481,477
"Brimstone",78,68
"CERBERUS Esports",131,169
"Cloud9",533,461
"CNJ Esports",239,272
"Crazy Raccoon",446,368
"Crest Gaming ZST",90,124
"DAMWON Gaming",634,566
"Desperado",195,241
"DetonatioN Gaming White",44,34
"DeToNator",34,37
"DRX",1101,733
"EBRO Gaming",96,128
"EDward Gaming",49,58
"EVA:e",32,38
"Evil Geniuses",366,413
"E-Xolos LAZER",153,196
"Fancy United Esports",155,209
"FAV gaming",237,230
"FaZe Clan",416,432
"FENNEL",76,66
"FNATIC",791,691
"Focus e-Sports",10,26
"FOKUS",113,151
"FULL SENSE",127,111
"FunPlus Phoenix",1078,947
"FURIA",542,534
"FUSION",142,223
"FW Esports",44,62
"G2 Esports (Inactive)",630,593
"Gaimin Gladiators",52,68
"Gambit Esports",66,54
"Gamelanders Blue",243,288
"Ghost Gaming",170,151
"Global Esports",44,65
"GoNGo Prince",67,90
"Griffin E-Sports",149,172
"Guild Esports",598,583
"GyoGun",8,26
"Hexad",54,65
"HolyMolly",226,290
"IGZIST",181,176
"INGAMING Esports",92,109
"Insomnia",20,36
"IXA",45,58
"Jadeite",114,135
"K2 eSports",13,26
"Keyd Stars",671,642
"Knights",153,193
"KRÜ Esports",828,681
"LDN UTD",107,132
"Leviatán",835,672
"Liberty",199,232
"looking for a name",13,26
"Los Grandes",179,215
"LOUD",820,554
"Luminosity Gaming",333,394
"M3 Champions",532,483
"Made in Thailand",303,321
"Mariner",8,26
"Maru Gaming",576,604
"Meta Gaming",78,128
"MIBR",191,190
"Movistar Optix",255,319
"NAOS Esports",51,69
"Natus Vincere",375,406
"Next eSports",30,52
"Ninjas in Pyjamas",725,692
"No Namers",39,60
"NORTHEPTION",425,402
"NRG Esports",398,441
"Oasis Gaming",24,52
"Oblivion Force",39,52
"OG LDN UTD",215,252
"Onic Esports",429,407
"On Sla2ers",593,462
"OpTic Gaming",1236,1104
"ORDER",162,143
"PAMPAS",99,125
"Paper Rex",713,558
"Pentagon",49,58
"Persija Esports",177,185
"Rebellion Arts",12,26
"Reignite",84,114
"REJECT",344,292
"Rex Regum Qeon",76,91
"Rise",109,145
"SCARZ",52,60
"SchwarzerLand",8,26
"Sengoku Gaming",96,104
"Sentinels",388,466
"SETOUCHI ENLIFE",8,26
"Sharks Esports",86,107
"Shopify Rebellion",48,60
"South Built Esports",114,119
"Spear Gaming",267,340
"Stars Horizon",59,102
"Storks Phalanx",47,47
"SunXet Club",92,141
"SuperMassive",96,147
"SYSTEM e-Sports",3,26
"Tartarus",120,186
"TBK Esports",417,419
"Team GP",48,71
"Team Liquid",834,803
"Team Secret",277,269
"Team T5",200,247
"Team Vikings",52,112
"The Guard",590,561
"TRIDENT",9,26
"TSM",106,124
"Velocity Gaming",58,73
"Veronica7",36,61
"Version1 (Inactive)",243,194
"VPZ",22,52
"World Game Star",590,608
"XERXIA Esports",658,636
"XSET",742,675
"ZETA DIVISION",694,598
