"Ign","Team","Weapon","Picks","Rounds Played","Pick Percentage"
"Defectio","ややーず (ex)","Vandal",21,46,"45.65"
"Defectio","ややーず (ex)","Operator",5,46,"10.87"
"Defectio","ややーず (ex)","Sheriff",5,46,"10.87"
"Defectio","ややーず (ex)","Ghost",4,46,"8.70"
"Defectio","ややーず (ex)","Classic",3,46,"6.52"
"Defectio","ややーず (ex)","Judge",2,46,"4.35"
"Defectio","ややーず (ex)","Shorty",2,46,"4.35"
"Defectio","ややーず (ex)","Spectre",2,46,"4.35"
"Defectio","ややーず (ex)","Bulldog",1,46,"2.17"
"Defectio","ややーず (ex)","Marshal",1,46,"2.17"
"hatty","ややーず (ex)","Phantom",30,46,"65.22"
"hatty","ややーず (ex)","Sheriff",5,46,"10.87"
"hatty","ややーず (ex)","Ghost",4,46,"8.70"
"hatty","ややーず (ex)","Spectre",4,46,"8.70"
"hatty","ややーず (ex)","Classic",2,46,"4.35"
"hatty","ややーず (ex)","Vandal",1,46,"2.17"
"RIA","ややーず (ex)","Vandal",18,46,"39.13"
"RIA","ややーず (ex)","Judge",12,46,"26.09"
"RIA","ややーず (ex)","Classic",7,46,"15.22"
"RIA","ややーず (ex)","Frenzy",2,46,"4.35"
"RIA","ややーず (ex)","Ghost",2,46,"4.35"
"RIA","ややーず (ex)","Phantom",2,46,"4.35"
"RIA","ややーず (ex)","Marshal",1,46,"2.17"
"RIA","ややーず (ex)","Sheriff",1,46,"2.17"
"RIA","ややーず (ex)","Spectre",1,46,"2.17"
"YAYA","ややーず","Vandal",25,46,"54.35"
"YAYA","ややーず","Ghost",4,46,"8.70"
"YAYA","ややーず","Sheriff",4,46,"8.70"
"YAYA","ややーず","Spectre",4,46,"8.70"
"YAYA","ややーず","Bulldog",3,46,"6.52"
"YAYA","ややーず","Classic",3,46,"6.52"
"YAYA","ややーず","Phantom",2,46,"4.35"
"YAYA","ややーず","Guardian",1,46,"2.17"
"侵略者","ややーず","Odin",16,46,"34.78"
"侵略者","ややーず","Phantom",10,46,"21.74"
"侵略者","ややーず","Spectre",6,46,"13.04"
"侵略者","ややーず","Classic",5,46,"10.87"
"侵略者","ややーず","Sheriff",2,46,"4.35"
"侵略者","ややーず","Vandal",2,46,"4.35"
"侵略者","ややーず","Bucky",1,46,"2.17"
"侵略者","ややーず","Ghost",1,46,"2.17"
"侵略者","ややーず","Guardian",1,46,"2.17"
"侵略者","ややーず","Judge",1,46,"2.17"
"侵略者","ややーず","Marshal",1,46,"2.17"
"Asuna","100 Thieves","Phantom",491,1185,"41.43"
"Asuna","100 Thieves","Vandal",264,1185,"22.28"
"Asuna","100 Thieves","Spectre",97,1185,"8.19"
"Asuna","100 Thieves","Classic",86,1185,"7.26"
"Asuna","100 Thieves","Frenzy",82,1185,"6.92"
"Asuna","100 Thieves","Ghost",53,1185,"4.47"
