"Ign","Team","Headshot %","Bodyshot %","Legshot %","Matches"
"KAMEReon","AWS (ex)","42.85","51.42","5.71",2
"Maru","Mariner","42.50","50.00","7.50",2
"MqsaaV","Mariner","41.66","53.33","5.00",2
"Redgar","Gambit Esports (ex)","41.04","55.49","3.46",5
"TenzouEz","DeToNator (ex)","40.60","55.63","3.75",3
"SamuraiDeeper","REJECT (si)","40.54","54.05","5.40",1
"GwangUh","Tartarus (si)","40.35","50.87","8.77",2
"aproto","Ghost Gaming (ex)","39.77","55.83","4.39",15
"Pa1n","Focus e-Sports","39.39","54.54","6.06",2
"Jemkin","Crest Gaming ZST (ex)","39.33","58.55","2.10",7
"Mizu","9z Team","39.10","56.14","4.75",37
"sakurai","Hexad (ex)","38.94","57.21","3.84",6
"sakurai","REJECT (si)","38.88","61.11","0.00",1
"SEIDER","FunPlus Phoenix (si)","37.83","57.09","5.06",10
"pouoxo","TRIDENT (ex)","37.25","60.78","1.96",2
"Hate","DAMWON Gaming (ex)","36.71","57.77","5.50",28
"bang","100 Thieves","36.29","60.27","3.42",50
"Bangnan","DAMWON Gaming (ex)","35.95","54.77","9.27",28
"arm1e","EVA:e (ex)","35.84","59.43","4.71",3
"ClarK","World Game Star (ex)","35.80","55.55","8.64",5
"Leo","SYSTEM e-Sports","35.71","64.28","0.00",2
"Sk9Na","Team GP (ex)","35.46","59.88","4.65",6
"iluri","FOKUS (ex)","35.38","61.17","3.43",12
"Exy","DAMWON Gaming","35.33","60.47","4.18",58
"takej","Crest Gaming ZST (si)","35.29","62.74","1.96",1
"shroud","Sentinels","35.20","61.37","3.42",8
"JinboongE","Brimstone (ex)","35.13","59.79","5.06",7
"stax","DRX","35.12","57.84","7.03",91
"ParkJJong","Tartarus (si)","34.56","62.96","2.46",2
"DEATHMAKER","Velocity Gaming","34.55","63.41","2.03",6
"invy","Oasis Gaming (ex)","34.53","58.99","6.47",4
"pANcada","LOUD (ex)","34.52","62.70","2.77",67
"Bangnan","Team T5 (ex)","34.35","59.22","6.42",22
"dimasick","Team Liquid","34.32","60.80","4.87",26
"zunba","On Sla2ers (si)","34.24","60.27","5.47",6
"B1ngSu","Veronica7","34.22","61.07","4.69",5
"ZONBee","GyoGun","34.14","58.53","7.31",2
"Esperanza","DAMWON Gaming","34.11","61.17","4.71",58
"Flax","Hexad (ex)","34.06","59.34","6.59",6
"myssen","Liberty","34.02","60.97","5.00",20
"Reita","Crest Gaming ZST (si)","33.92","62.50","3.57",1
"NANZIN","INGAMING Esports (ex)","33.85","58.62","7.52",9
"tex","NRG Esports (ex)","33.71","61.37","4.90",39
"NANZIN","Stars Horizon","33.64","61.75","4.60",8
