"Ign","Team","Assists"
"MaKo","DRX","811"
"crashies","OpTic Gaming (ex)","791"
"Marved","OpTic Gaming","780"
"Shao","FunPlus Phoenix (ex)","694"
"Victor","OpTic Gaming (ex)","668"
"FNS","OpTic Gaming (ex)","646"
"stax","DRX","637"
"Zest","DRX","586"
"Boaster","FNATIC","581"
"Saadhak","LOUD","574"
"Zyppan","FunPlus Phoenix (ex)","559"
"Sacy","LOUD (ex)","530"
"Mistic","FNATIC (ex)","525"
"Mazino","KRÜ Esports (ex)","520"
"soulcas","Team Liquid","519"
"Melser","Leviatán (ex)","515"
"Delz1k","KRÜ Esports (ex)","514"
"cauanzin","Ninjas in Pyjamas (ex)","501"
"sScary","XERXIA Esports (ex)","495"
"pANcada","LOUD (ex)","476"
"BcJ","XSET (ex)","475"
"ANGE1","FunPlus Phoenix (ex)","464"
"adverso","Leviatán (ex)","459"
"SugarZ3ro","ZETA DIVISION","456"
"Klaus","KRÜ Esports","448"
"AYRIN","XSET (ex)","447"
"koldamenta","Guild Esports","445"
"crws","XERXIA Esports (ex)","427"
"SUYGETSU","FunPlus Phoenix (ex)","424"
"kiNgg","Leviatán","423"
"AvovA","G2 Esports (Inactive) (ex)","416"
"Hoody","G2 Esports (Inactive) (ex)","415"
"dephh","XSET (ex)","415"
"valyn","The Guard","403"
"valyn","The Guard (ex)","403"
"ardiis","FunPlus Phoenix (ex)","400"
"Benkai","Paper Rex","400"
"d4v41","Paper Rex","398"
"Asuna","100 Thieves","397"
"mwzera","Keyd Stars (ex)","396"
"keznit","KRÜ Esports (ex)","394"
"mindfreak","Paper Rex","392"
"Enzo","FNATIC (ex)","392"
"Leo","Guild Esports (ex)","392"
"zekken","XSET (ex)","390"
"bezn1","Ninjas in Pyjamas (ex)","389"
"Jonn","Ninjas in Pyjamas (ex)","389"
"crow","ZETA DIVISION","388"
"vanity","Cloud9","385"
"BuZz","DRX","379"
"trexx","Guild Esports","374"
"bang","100 Thieves","368"
"Rb","DRX","366"
"Sylvan","World Game Star","366"
"ScreaM","Team Liquid (ex)","366"
"Xeppaa","Cloud9","361"
"murizzz","Keyd Stars (ex)","360"
"ryotzz","TBK Esports","360"
"nukkye","G2 Esports (Inactive) (ex)","356"
"Esperanza","DAMWON Gaming","354"
"foxz","XERXIA Esports (ex)","353"
"iRdy","World Game Star","345"
"JonahP","The Guard","336"
"Jinggg","Paper Rex","336"
"Nivera","Team Liquid (ex)","335"
"TENNN","ZETA DIVISION","332"
"Dep","ZETA DIVISION","332"
"zunba","On Sla2ers (ex)","330"
"blaZek1ng","BOOM Esports","322"
"trent","The Guard","321"
"Russ","Guild Esports (ex)","318"
"GODLIKE","World Game Star (ex)","316"
"Shyy","Leviatán","314"
"NcSlasher","Onic Esports (ex)","313"
"Less","LOUD","312"
"SEVERiNE","Onic Esports (ex)","312"
"Duno","Natus Vincere (ex)","310"
"GodDead","On Sla2ers","309"
"popogachi","Crazy Raccoon","309"
"Khalil","FURIA","309"
"Nozwerr","FURIA (ex)","307"
"TS","On Sla2ers (ex)","307"
"WIX","Maru Gaming (ex)","307"
"sheydos","M3 Champions","304"
"JoXJo","NORTHEPTION (ex)","301"
"yay","OpTic Gaming (ex)","299"
"nAts","M3 Champions (ex)","290"
"poised","FaZe Clan","289"
"Redgar","M3 Champions","288"
"tehbotol","BOOM Esports (ex)","288"
"supamen","FaZe Clan","288"
"stellar","100 Thieves","286"
"Exy","DAMWON Gaming","283"
"lukzera","TBK Esports","279"
"maxie","Bleed Esports (ex)","279"
"mazin","FURIA","278"
"Laz","ZETA DIVISION","277"
"lenne","Bleed Esports (ex)","276"
"sushiboys","XERXIA Esports (ex)","272"
"Jamppi","Team Liquid","271"
"Tacolilla","Leviatán","270"
"NakJi","Maru Gaming (ex)","268"
"aspas","LOUD","262"
"TiGG","Luminosity Gaming (ex)","262"
"Shiro","Onic Esports (ex)","259"
"eeiu","NRG Esports (ex)","257"
"Meddo","G2 Esports (Inactive) (ex)","256"
"ableJ","FURIA (ex)","253"
"Reformed","Evil Geniuses","253"
"Astell","Crazy Raccoon","253"
"hazed","NRG Esports (ex)","252"
"xand","Ninjas in Pyjamas (ex)","250"
"neth","Crazy Raccoon","249"
"ShahZaM","Sentinels (ex)","247"
"L1NK","Team Liquid (ex)","244"
"mitch","Cloud9 (ex)","243"
"Chibab","Maru Gaming","242"
"deigara","9z Team","242"
"Puleule","9z Team","239"
"Derrek","100 Thieves","239"
"BlackWiz","NORTHEPTION","238"
"Chronicle","M3 Champions (ex)","232"
"kon4n","TBK Esports (ex)","231"
"flyuh","FaZe Clan (ex)","230"
"dazzLe","Luminosity Gaming (ex)","229"
"bnj","Ninjas in Pyjamas (ex)","228"
"dapr","Sentinels (ex)","227"
"Jeong Hi","Maru Gaming (ex)","226"
"xnfri","NORTHEPTION (ex)","224"
"RgLMeister","Keyd Stars (ex)","223"
"Redgar","M3 Champions (ex)","223"
"mixwell","G2 Esports (Inactive) (ex)","222"
"Alfajer","FNATIC","221"
"fl1pzjder","BOOM Esports (ex)","220"
"matheuzin","TBK Esports","220"
"Derke","FNATIC","219"
"NagZ","KRÜ Esports","216"
"Keria","Spear Gaming","215"
"Moves","Maru Gaming (ex)","215"
"f0rsakeN","Paper Rex","215"
"Cloud","Natus Vincere (ex)","213"
"v1xen","Keyd Stars (ex)","210"
"vaiZ","Leviatán (ex)","208"
"zeek","Acend (ex)","207"
"Luke","World Game Star","206"
"jawgemo","Evil Geniuses","205"
"neT","The Guard","204"
"Ethan","NRG Esports (ex)","204"
"leaf","Cloud9","201"
"Wavy","CNJ Esports","201"
"mada","Luminosity Gaming (ex)","201"
"Sayf","Guild Esports (ex)","198"
"C0M","Evil Geniuses","196"
"sheydos","M3 Champions (ex)","195"
"RHZ","Keyd Stars (ex)","193"
"Bazzi","On Sla2ers (ex)","192"
"Felix","HolyMolly (ex)","192"
"Zellsis","Version1 (Inactive) (ex)","191"
"HANN","World Game Star","190"
"Reita","REJECT (ex)","190"
"pyth","Bleed Esports (ex)","190"
"s0m","NRG Esports","188"
"nAts","M3 Champions (ex)","187"
"Jeong Hi","DAMWON Gaming (ex)","187"
"gio","Movistar Optix","185"
"Chronicle","M3 Champions (ex)","185"
"Apoth","Evil Geniuses","183"
"axeLuvY","Alter Ego (ex)","183"
"takej","REJECT (ex)","183"
"SUTHER","9z Team (ex)","182"
"AloNeFillz","Made in Thailand","181"
"k1Ng","On Sla2ers (ex)","181"
"HANLING","9z Team (ex)","181"
"Starxo","Acend","180"
"Moose","Luminosity Gaming (ex)","180"
"Will","100 Thieves (ex)","179"
"Surf","XERXIA Esports (ex)","177"
"Tio","Movistar Optix","177"
"GwangUh","Maru Gaming (ex)","177"
"dinkzj","Natus Vincere (ex)","176"
"JessieVash","Team Secret","176"
"BABYBAY","FaZe Clan","176"
"dimasick","Team Liquid","175"
"BORKUM","Team Secret","174"
"SungJin","Spear Gaming (ex)","172"
"Zander","Version1 (Inactive) (ex)","172"
"Kongared","Made in Thailand","171"
"BerserX","BOOM Esports","171"
"v1xen","Ninjas in Pyjamas (ex)","170"
"asteriskk","Persija Esports","169"
"Hate","DAMWON Gaming (ex)","169"
"Lmemore","Onic Esports (ex)","169"
"Meiy","Crazy Raccoon","168"
"chase","Gamelanders Blue (ex)","166"
"Quick","FURIA","166"
"Sayaplayer","The Guard (ex)","166"
"aimDLL","BBL Esports","166"
"zeddy","Natus Vincere (ex)","166"
"Monyet","Onic Esports (ex)","164"
"heat","Keyd Stars (ex)","163"
"bazz","FAV gaming","162"
"Destrian","OG LDN UTD (ex)","162"
"T3xture","DAMWON Gaming (ex)","162"
"Benecia","CNJ Esports","162"
"vickt0r","Movistar Optix","162"
"adrnking","Alter Ego","161"
"d3ffo","M3 Champions (ex)","161"
"curry","Cloud9 (ex)","160"
"gustt1nha","Los Grandes (ex)","160"
"xeta","Cloud9 (ex)","159"
"Cryocells","XSET (ex)","158"
"JhoW","Keyd Stars (ex)","154"
"Nyang","Gamelanders Blue","153"
"tex","NRG Esports (ex)","152"
"SicK","Sentinels (ex)","151"
"mNdS","MIBR (ex)","151"
"Boo","OG LDN UTD (ex)","150"
"Medusa","REJECT (ex)","150"
"ExiA","Spear Gaming","148"
"zombs","Sentinels (ex)","146"
"Turko","BBL Esports","146"
"pleets","Los Grandes","144"
"jfoen","E-Xolos LAZER","143"
"TenZ","Sentinels","142"
"Bangnan","DAMWON Gaming (ex)","140"
"gtnziN","MIBR (ex)","138"
"Boostio","Evil Geniuses","138"
"effys","Version1 (Inactive) (ex)","137"
"MOLSI","OG LDN UTD (ex)","137"
"Delta","Maru Gaming (ex)","137"
"tuyz","TBK Esports (ex)","137"
"Deryeon","Bleed Esports (ex)","136"
"braveaf","FNATIC (ex)","134"
"Secret","Desperado (ex)","134"
"Meteor","NORTHEPTION (ex)","133"
"Delend","Made in Thailand (ex)","133"
"wannafly","Made in Thailand","132"
"Kush","Alter Ego","132"
"Mizu","9z Team","131"
"DeNaro","MIBR (ex)","131"
"JinboongE","HolyMolly (ex)","131"
"BandiCoot","E-Xolos LAZER","129"
"Tuli","Movistar Optix (ex)","129"
"b3ta","Made in Thailand","128"
"AslaN","BIG (ex)","128"
"RIPablo","IGZIST","128"
"Genghsta","Knights (ex)","127"
"hype","OG LDN UTD (ex)","127"
"MAGNUM","FNATIC (ex)","127"
"vakk","Acend","126"
"shion","Liberty (ex)","124"
"Hermes","HolyMolly (ex)","124"
"AsLanM4shadoW","BBL Esports","123"
"Rainy","Griffin E-Sports","122"
"bdog","Luminosity Gaming (ex)","119"
"Famouz","BOOM Esports (ex)","118"
"zepher","REJECT (ex)","118"
"XXiF","Knights (ex)","118"
"brawk","Ghost Gaming (ex)","116"
"Hyzee","Fancy United Esports (ex)","116"
"Obnoks","BIG (ex)","115"
"Has1ra14","CNJ Esports","114"
"Derialy","NORTHEPTION","114"
"LOB","FAV gaming","113"
"7ssk7","Natus Vincere (ex)","112"
"krain","Liberty","112"
"10X","HolyMolly (ex)","112"
"cNed","Acend (ex)","112"
"Witz","Team Secret (ex)","112"
"NiSMO","Ghost Gaming (ex)","112"
"Moves","Team T5 (ex)","111"
"wippie","Version1 (Inactive) (ex)","111"
"Rain","CNJ Esports","110"
"Maple","ORDER (ex)","110"
"Phantom","FAV gaming","110"
"Twisten","BIG (ex)","109"
"MONSTEERR","Acend (ex)","109"
"Kadoom","Made in Thailand","108"
"Minty","FAV gaming","107"
"Jady","Natus Vincere (ex)","107"
"RyZzi","Desperado (ex)","107"
"Ssun","Spear Gaming (ex)","107"
"baddyG","FunPlus Phoenix (ex)","106"
"Texta","ORDER (ex)","105"
"YESicaN","Fancy United Esports","105"
"DubsteP","Team Secret","105"
"Xdll","BLUE BEES.ESP (ex)","104"
"redwater877","Team T5","104"
"Lakia","IGZIST (ex)","103"
"NoriseN","REJECT (ex)","103"
"poem","IGZIST","103"
"myssen","Liberty","103"
"Fuzari","Gamelanders Blue (ex)","102"
"godko","Desperado (ex)","102"
"iNTRO","DAMWON Gaming (si)","102"
"frostmind","BOOM Esports (ex)","102"
"dicey","FaZe Clan","101"
"v1nNy","Gamelanders Blue (ex)","101"
"aproto","Ghost Gaming (ex)","101"
"prince","Los Grandes (ex)","101"
"zennakukinn","BLUE BEES.ESP (ex)","100"
"rDeeW","ORDER (ex)","100"
"Munchkin","Crazy Raccoon (ex)","99"
"pAura","BBL Esports (ex)","99"
"akashi","CERBERUS Esports (ex)","98"
"deLb","Alter Ego","98"
"Harry","HolyMolly","97"
