"Ign","Team","Headshots"
"Marved","OpTic Gaming","1431"
"Victor","OpTic Gaming (ex)","1397"
"BuZz","DRX","1236"
"Shao","FunPlus Phoenix (ex)","1224"
"Zyppan","FunPlus Phoenix (ex)","1187"
"stax","DRX","1184"
"crashies","OpTic Gaming (ex)","1171"
"ScreaM","Team Liquid (ex)","1166"
"SUYGETSU","FunPlus Phoenix (ex)","1163"
"MaKo","DRX","1097"
"Rb","DRX","1076"
"Zest","DRX","1059"
"FNS","OpTic Gaming (ex)","1022"
"yay","OpTic Gaming (ex)","1011"
"keznit","KRÜ Esports (ex)","947"
"soulcas","Team Liquid","911"
"Mazino","KRÜ Esports (ex)","905"
"ANGE1","FunPlus Phoenix (ex)","889"
"xand","Ninjas in Pyjamas (ex)","884"
"kiNgg","Leviatán","881"
"pANcada","LOUD (ex)","872"
"ardiis","FunPlus Phoenix (ex)","859"
"Mistic","FNATIC (ex)","854"
"f0rsakeN","Paper Rex","844"
"Jonn","Ninjas in Pyjamas (ex)","839"
"Nivera","Team Liquid (ex)","836"
"aspas","LOUD","835"
"zekken","XSET (ex)","826"
"SugarZ3ro","ZETA DIVISION","815"
"Melser","Leviatán (ex)","814"
"Exy","DAMWON Gaming","811"
"Derke","FNATIC","804"
"Delz1k","KRÜ Esports (ex)","799"
"bezn1","Ninjas in Pyjamas (ex)","795"
"sScary","XERXIA Esports (ex)","793"
"adverso","Leviatán (ex)","787"
"heat","Keyd Stars (ex)","786"
"bang","100 Thieves","784"
"Jinggg","Paper Rex","775"
"trent","The Guard","774"
"TENNN","ZETA DIVISION","773"
"Jamppi","Team Liquid","767"
"cauanzin","Ninjas in Pyjamas (ex)","764"
"Sylvan","World Game Star","757"
"Dep","ZETA DIVISION","756"
"Less","LOUD","755"
"Sacy","LOUD (ex)","751"
"Esperanza","DAMWON Gaming","745"
"Saadhak","LOUD","739"
"Meddo","G2 Esports (Inactive) (ex)","737"
"Hoody","G2 Esports (Inactive) (ex)","733"
"T3xture","DAMWON Gaming (ex)","731"
"Laz","ZETA DIVISION","720"
"sushiboys","XERXIA Esports (ex)","703"
"nAts","M3 Champions (ex)","702"
"dephh","XSET (ex)","702"
"Alfajer","FNATIC","701"
"mindfreak","Paper Rex","693"
"neT","The Guard","685"
"HANN","World Game Star","685"
"nukkye","G2 Esports (Inactive) (ex)","681"
"Tacolilla","Leviatán","675"
"trexx","Guild Esports","675"
"mwzera","Keyd Stars (ex)","674"
"WIX","Maru Gaming (ex)","673"
"Asuna","100 Thieves","667"
"Klaus","KRÜ Esports","663"
"foxz","XERXIA Esports (ex)","653"
"AvovA","G2 Esports (Inactive) (ex)","653"
"iRdy","World Game Star","652"
"Benkai","Paper Rex","652"
"Boaster","FNATIC","650"
"Leo","Guild Esports (ex)","648"
"NagZ","KRÜ Esports","648"
"k1Ng","On Sla2ers (ex)","645"
"Luke","World Game Star","643"
"d4v41","Paper Rex","635"
"BcJ","XSET (ex)","633"
"Chibab","Maru Gaming","632"
"NakJi","Maru Gaming (ex)","631"
"JonahP","The Guard","630"
"Sayf","Guild Esports (ex)","628"
"murizzz","Keyd Stars (ex)","623"
"leaf","Cloud9","614"
"Xeppaa","Cloud9","613"
"crws","XERXIA Esports (ex)","611"
"AYRIN","XSET (ex)","609"
"valyn","The Guard (ex)","605"
"valyn","The Guard","605"
"mazin","FURIA","602"
"Cryocells","XSET (ex)","598"
"Sayaplayer","The Guard (ex)","591"
"fl1pzjder","BOOM Esports (ex)","589"
"Surf","XERXIA Esports (ex)","584"
"sheydos","M3 Champions","580"
"Redgar","M3 Champions","564"
"zunba","On Sla2ers (ex)","560"
"crow","ZETA DIVISION","558"
"supamen","FaZe Clan","556"
"Khalil","FURIA","553"
"blaZek1ng","BOOM Esports","553"
"GODLIKE","World Game Star (ex)","547"
"Russ","Guild Esports (ex)","546"
"Derrek","100 Thieves","539"
"Monyet","Onic Esports (ex)","535"
"Quick","FURIA","531"
"Nozwerr","FURIA (ex)","529"
"tehbotol","BOOM Esports (ex)","528"
"Chronicle","M3 Champions (ex)","527"
"koldamenta","Guild Esports","521"
"Meteor","NORTHEPTION (ex)","520"
"Cloud","Natus Vincere (ex)","511"
"Enzo","FNATIC (ex)","505"
"nAts","M3 Champions (ex)","499"
"pyth","Bleed Esports (ex)","498"
"TS","On Sla2ers (ex)","498"
"deigara","9z Team","497"
"Meiy","Crazy Raccoon","490"
"kon4n","TBK Esports (ex)","485"
"Lmemore","Onic Esports (ex)","480"
"s0m","NRG Esports","473"
"GodDead","On Sla2ers","470"
"neth","Crazy Raccoon","467"
"mixwell","G2 Esports (Inactive) (ex)","462"
"jawgemo","Evil Geniuses","458"
"matheuzin","TBK Esports","457"
"eeiu","NRG Esports (ex)","455"
"popogachi","Crazy Raccoon","449"
"BerserX","BOOM Esports","444"
"L1NK","Team Liquid (ex)","443"
"xnfri","NORTHEPTION (ex)","443"
"hazed","NRG Esports (ex)","442"
"mitch","Cloud9 (ex)","441"
"Shyy","Leviatán","440"
"tex","NRG Esports (ex)","440"
"BABYBAY","FaZe Clan","440"
"maxie","Bleed Esports (ex)","439"
"JoXJo","NORTHEPTION (ex)","438"
"Mizu","9z Team","436"
"stellar","100 Thieves","432"
"tuyz","TBK Esports (ex)","422"
"BlackWiz","NORTHEPTION","421"
"NcSlasher","Onic Esports (ex)","416"
"Puleule","9z Team","413"
"Redgar","M3 Champions (ex)","413"
"dicey","FaZe Clan","412"
"vaiZ","Leviatán (ex)","412"
"Astell","Crazy Raccoon","411"
"takej","REJECT (ex)","410"
"mada","Luminosity Gaming (ex)","406"
"ShahZaM","Sentinels (ex)","405"
"cNed","Acend (ex)","404"
"Moose","Luminosity Gaming (ex)","403"
"Medusa","REJECT (ex)","401"
"dapr","Sentinels (ex)","400"
"Ssun","Spear Gaming (ex)","399"
"Starxo","Acend","398"
"pr0xy","Spear Gaming (ex)","396"
"Boostio","Evil Geniuses","394"
"sheydos","M3 Champions (ex)","390"
"vanity","Cloud9","389"
"TenZ","Sentinels","389"
"Chronicle","M3 Champions (ex)","386"
"flyuh","FaZe Clan (ex)","386"
"Deryeon","Bleed Esports (ex)","382"
"Bangnan","DAMWON Gaming (ex)","380"
"poised","FaZe Clan","377"
"Will","100 Thieves (ex)","376"
"7ssk7","Natus Vincere (ex)","375"
"Duno","Natus Vincere (ex)","375"
"Bazzi","On Sla2ers (ex)","375"
"Shiro","Onic Esports (ex)","374"
"wannafly","Made in Thailand","371"
"lukzera","TBK Esports","368"
"TiGG","Luminosity Gaming (ex)","367"
"AsLanM4shadoW","BBL Esports","366"
"Kadoom","Made in Thailand","361"
"HANLING","9z Team (ex)","353"
"SEVERiNE","Onic Esports (ex)","352"
"SUTHER","9z Team (ex)","349"
"Kongared","Made in Thailand","346"
"lenne","Bleed Esports (ex)","345"
"Tuli","Movistar Optix (ex)","344"
"aimDLL","BBL Esports","341"
"Reita","REJECT (ex)","340"
"Twisten","BIG (ex)","336"
"Reformed","Evil Geniuses","336"
"bnj","Ninjas in Pyjamas (ex)","332"
"dinkzj","Natus Vincere (ex)","329"
"bdog","Luminosity Gaming (ex)","327"
"d3ffo","M3 Champions (ex)","326"
"Bangnan","Team T5 (ex)","326"
"dimasick","Team Liquid","324"
"RgLMeister","Keyd Stars (ex)","323"
"Moves","Maru Gaming (ex)","321"
"Harry","HolyMolly","317"
"Jeong Hi","Maru Gaming (ex)","314"
"Derialy","NORTHEPTION","314"
"Munchkin","Crazy Raccoon (ex)","312"
"Ethan","NRG Esports (ex)","308"
"deLb","Alter Ego","307"
"ableJ","FURIA (ex)","307"
"dazzLe","Luminosity Gaming (ex)","306"
"ryotzz","TBK Esports","306"
"Apoth","Evil Geniuses","304"
"JinboongE","HolyMolly (ex)","302"
"MONSTEERR","Acend (ex)","301"
"Hate","DAMWON Gaming (ex)","300"
"DubsteP","Team Secret","300"
"QutionerX","BBL Esports","298"
"zepher","REJECT (ex)","297"
"MOLSI","OG LDN UTD (ex)","295"
"AloNeFillz","Made in Thailand","295"
"SicK","Sentinels (ex)","295"
"BORKUM","Team Secret","292"
"JessieVash","Team Secret","292"
"frostmind","BOOM Esports (ex)","291"
"iNTRO","DAMWON Gaming (si)","288"
"Kush","Alter Ego","284"
"MAGNUM","FNATIC (ex)","283"
"vickt0r","Movistar Optix","277"
"Hermes","HolyMolly (ex)","277"
"Minty","FAV gaming","277"
"Keria","Spear Gaming","276"
"10X","HolyMolly (ex)","274"
"gio","Movistar Optix","274"
"Nyang","Gamelanders Blue","271"
"Turko","BBL Esports","270"
"Fuzari","Gamelanders Blue (ex)","269"
"Secret","Desperado (ex)","268"
"adrnking","Alter Ego","267"
"Obnoks","BIG (ex)","267"
"LOB","FAV gaming","266"
"bazz","FAV gaming","266"
"chase","Gamelanders Blue (ex)","266"
"GwangUh","Maru Gaming (ex)","265"
"Zander","Version1 (Inactive) (ex)","265"
"Wavy","CNJ Esports","265"
"zeek","Acend (ex)","265"
"AslaN","BIG (ex)","264"
"Boo","OG LDN UTD (ex)","262"
"C0M","Evil Geniuses","262"
"vakk","Acend","261"
"liazzi","Liberty","260"
"Jeong Hi","DAMWON Gaming (ex)","259"
"Benecia","CNJ Esports","258"
"dgzin","Gamelanders Blue (ex)","256"
"v1xen","Keyd Stars (ex)","255"
"zeddy","Natus Vincere (ex)","254"
"jzz","MIBR","251"
"vow","Team T5 (ex)","251"
"Moves","Team T5 (ex)","249"
"ExiA","Spear Gaming","247"
"pAura","BBL Esports (ex)","246"
"wippie","Version1 (Inactive) (ex)","243"
"Fisker","FAV gaming (ex)","241"
"RyZzi","Desperado (ex)","240"
"RHZ","Keyd Stars (ex)","237"
"skuba","Knights (ex)","235"
"v1xen","Ninjas in Pyjamas (ex)","232"
"xeta","Cloud9 (ex)","232"
"YESicaN","Fancy United Esports","231"
"myssen","Liberty","231"
"oitaN","IGZIST","229"
"Destrian","OG LDN UTD (ex)","229"
"noxxy","Alter Ego (si)","227"
"godko","Desperado (ex)","224"
"shion","Liberty (ex)","223"
"Tio","Movistar Optix","222"
"Lakia","IGZIST (ex)","220"
"Feniz","E-Xolos LAZER","220"
"Zellsis","Version1 (Inactive) (ex)","216"
"Witz","Team Secret (ex)","216"
"CTC","Los Grandes (ex)","215"
"hype","OG LDN UTD (ex)","214"
"penny","Version1 (Inactive) (ex)","214"
"SiuFatBB","Griffin E-Sports","213"
"prince","Los Grandes (ex)","213"
"Has1ra14","CNJ Esports","212"
"SungJin","Spear Gaming (ex)","212"
"aproto","Ghost Gaming (ex)","208"
"NiSMO","Ghost Gaming (ex)","208"
"braveaf","FNATIC (ex)","207"
"Phantom","FAV gaming","204"
"krain","Liberty","202"
"DeNaro","MIBR (ex)","202"
"feqew","OG LDN UTD (ex)","202"
"redwater877","Team T5","201"
"NoriseN","REJECT (ex)","201"
"Felix","HolyMolly (ex)","198"
"zombs","Sentinels (ex)","197"
"GOLD","Desperado (ex)","196"
"Famouz","Persija Esports (ex)","195"
"gustt1nha","Los Grandes (ex)","192"
"axeLuvY","Alter Ego (ex)","192"
"baddyG","FunPlus Phoenix (ex)","192"
"Delend","Made in Thailand (ex)","192"
"Rain","CNJ Esports","191"
"mNdS","MIBR (ex)","191"
"WRONSKI","ORDER (ex)","190"
"Eeyore","Persija Esports","189"
"Fung3","Griffin E-Sports","187"
"rion","Crazy Raccoon","186"
"Texta","ORDER (ex)","186"
"Hyzee","Fancy United Esports (ex)","186"
"Famouz","BOOM Esports (ex)","185"
"curry","Cloud9 (ex)","184"
"dgzin","FURIA","184"
"effys","Version1 (Inactive) (ex)","184"
"zennakukinn","BLUE BEES.ESP (ex)","183"
"Moothie","CNJ Esports (ex)","183"
"gtnziN","MIBR (ex)","182"
"Genghsta","Knights (ex)","181"
"Flynch","Persija Esports (ex)","179"
"XXiF","Knights (ex)","179"
"Frosty","Knights (ex)","179"
"JhoW","Keyd Stars (ex)","177"
"Pepper","IGZIST (ex)","176"
"XiSTOU","SuperMassive (ex)","176"
"ban","Knights (ex)","175"
"Dispenser","Team Secret","174"
"W1nner","Griffin E-Sports","174"
"Delta","Maru Gaming (ex)","172"
"Kishi","CERBERUS Esports (ex)","171"
"frz","MIBR","169"
"Fantasy","Team T5","168"
"Daveeys","E-Xolos LAZER (ex)","168"
"RIPablo","IGZIST","165"
"DaeGi","Tartarus (ex)","164"
"YRSelect","Griffin E-Sports (si)","162"
"BandiCoot","E-Xolos LAZER","162"
"rDeeW","ORDER (ex)","162"
"pleets","Los Grandes","160"
"gMd","TSM (ex)","159"
"Jady","Natus Vincere (ex)","158"
"D1E","Movistar Optix","158"
"koalanoob","Ghost Gaming (ex)","157"
"JohnOlsen","FULL SENSE","155"
"Johnqt","Ghost Gaming (ex)","155"
"Xandrite","NORTHEPTION (ex)","155"
"Brave","SuperMassive (ex)","154"
"disk0","ORDER (ex)","153"
"poem","IGZIST","153"
"Foxy9","Reignite (ex)","152"
"supamen","Rise (ex)","152"
"ANDROID","NRG Esports (ex)","152"
"Wenty","Tartarus (ex)","150"
