"Ign","Team","Kills","Deaths","Assists","Kd"
"Suggest","DetonatioN Gaming White (ex)",84,46,8,"1.83"
"kobra","REJECT (si)",23,13,12,"1.77"
"Akame","K2 eSports (ex)",49,30,3,"1.63"
"Rico","EVA:e (ex)",68,43,9,"1.58"
"Chronicle","Gambit Esports (ex)",117,75,57,"1.56"
"Estrella","Desperado (ex)",97,65,20,"1.49"
"thiefy","Sengoku Gaming (ex)",107,73,21,"1.47"
"Has1ra14","Maru Gaming (ex)",62,43,37,"1.44"
"kobra","Sengoku Gaming (ex)",120,84,15,"1.43"
"CLZ","FENNEL",133,94,55,"1.41"
"hsk","DetonatioN Gaming White",70,50,33,"1.40"
"JohnOlsen","FULL SENSE",242,173,33,"1.40"
"something","BLUE BEES.ESP (ex)",134,96,24,"1.40"
"Halbae","World Game Star (ex)",80,59,28,"1.36"
"Cryocells","XSET (ex)",1240,918,158,"1.35"
"Jemkin","Crest Gaming ZST (ex)",148,110,20,"1.35"
"yay","OpTic Gaming (ex)",2081,1551,299,"1.34"
"Dualing","Storks Phalanx (ex)",93,70,20,"1.33"
"TS","On Sla2ers (si)",86,65,27,"1.32"
"Tacolilla","Leviatán",1234,935,270,"1.32"
"aspas","LOUD",1193,904,262,"1.32"
"oitaN","IGZIST",311,236,77,"1.32"
"Bazzi","On Sla2ers (si)",88,67,25,"1.31"
"dicey","FaZe Clan",721,552,101,"1.31"
"Bazzi","On Sla2ers (ex)",777,599,192,"1.30"
"sheydos","Gambit Esports (ex)",97,75,26,"1.29"
"MaKo","DRX",1394,1089,811,"1.28"
"Lakia","IGZIST (ex)",327,256,103,"1.28"
"Retla","Bleed Esports (ex)",176,138,46,"1.28"
"Derke","FNATIC",1250,981,219,"1.27"
"zunba","On Sla2ers (si)",84,66,34,"1.27"
"BuZz","DRX",1520,1195,379,"1.27"
"Less","LOUD",1075,846,312,"1.27"
"Alfajer","FNATIC",845,665,221,"1.27"
"Sayf","Guild Esports (ex)",988,778,198,"1.27"
"frz","MIBR",297,235,72,"1.26"
"heat","Keyd Stars (ex)",1140,909,163,"1.25"
"Munchkin","Crazy Raccoon (ex)",460,367,99,"1.25"
"T3xture","DAMWON Gaming (ex)",1032,824,162,"1.25"
"GOLD","Desperado (si)",90,72,52,"1.25"
"penny","Version1 (Inactive) (ex)",367,294,79,"1.25"
"Jremy","Team Secret",173,139,50,"1.24"
"nAts","M3 Champions (ex)",834,674,290,"1.24"
"Meiy","Crazy Raccoon",700,567,168,"1.23"
"Anthem","SCARZ (ex)",101,82,20,"1.23"
"sheydos","M3 Champions",782,635,304,"1.23"
"JinboongE","Brimstone (ex)",118,96,44,"1.23"
"SSeeS","DetonatioN Gaming White (ex)",38,31,17,"1.23"
"Luna","IXA",87,71,9,"1.23"
"sScary","XERXIA Esports (ex)",1013,830,495,"1.22"
"k1Ng","On Sla2ers (ex)",703,577,181,"1.22"
"RgLMeister","INGAMING Esports (ex)",159,131,45,"1.21"
"Meteor","NORTHEPTION (ex)",747,616,133,"1.21"
"f0rsakeN","Paper Rex",1136,937,215,"1.21"
"sheydos","M3 Champions (ex)",543,448,195,"1.21"
"Laz","ZETA DIVISION",1045,863,277,"1.21"
"HaReeee","REJECT (ex)",139,115,61,"1.21"
"Brofeld","Hexad (ex)",94,78,14,"1.21"
"Leo","Guild Esports (ex)",903,751,392,"1.20"
"keznit","KRÜ Esports (ex)",1260,1048,394,"1.20"
"mwzera","Keyd Stars (ex)",1089,906,396,"1.20"
"SyouTa","REJECT (si)",18,15,4,"1.20"
"pANcada","LOUD (ex)",989,826,476,"1.20"
"nAts","M3 Champions (ex)",584,488,187,"1.20"
"Hate","Jadeite (ex)",67,56,17,"1.20"
"k1Ng","On Sla2ers (si)",80,67,30,"1.19"
"Zander","Version1 (Inactive) (ex)",345,289,172,"1.19"
"Moose","Shopify Rebellion",81,68,30,"1.19"
"Zerost","BLUE BEES.ESP (ex)",102,86,26,"1.19"
"Lmemore","Onic Esports (ex)",679,576,169,"1.18"
"NiSMO","Ghost Gaming (ex)",266,226,112,"1.18"
"leaf","Cloud9",858,729,201,"1.18"
"Lightningfast","Global Esports",100,85,18,"1.18"
"Daveeys","E-Xolos LAZER (ex)",281,239,57,"1.18"
"Knight","Pentagon",87,74,41,"1.18"
"Moothie","CNJ Esports (ex)",315,268,49,"1.18"
"takej","REJECT (ex)",475,405,183,"1.17"
"Sacy","LOUD (ex)",961,820,530,"1.17"
"Foxy9","Reignite (ex)",181,155,22,"1.17"
"Sayaplayer","The Guard (ex)",933,802,166,"1.16"
"kiNgg","Leviatán",1147,991,423,"1.16"
"Exy","DAMWON Gaming",883,764,283,"1.16"
"Shao","FunPlus Phoenix (ex)",1451,1257,694,"1.15"
"Nozwerr","FURIA (ex)",778,675,307,"1.15"
"Bangnan","Team T5 (ex)",380,330,74,"1.15"
"trent","The Guard",876,761,321,"1.15"
"Killer0714","DetonatioN Gaming White",54,47,28,"1.15"
"Rb","DRX",1438,1253,366,"1.15"
"ardiis","FunPlus Phoenix (ex)",1517,1325,400,"1.14"
"Chronicle","M3 Champions (ex)",573,501,185,"1.14"
"dgzin","Gamelanders Blue (ex)",447,391,70,"1.14"
"GodDead","On Sla2ers (si)",88,77,45,"1.14"
"SamuraiDeeper","REJECT (si)",16,14,4,"1.14"
"Feniz","E-Xolos LAZER",281,246,81,"1.14"
"ChAlalala","FULL SENSE (ex)",169,148,81,"1.14"
"bdog","Shopify Rebellion",97,85,10,"1.14"
"SUYGETSU","FunPlus Phoenix (ex)",1327,1163,424,"1.14"
