"Ign","Team","Plants"
"stax","DRX","389"
"Shao","FunPlus Phoenix (ex)","300"
"crws","XERXIA Esports (ex)","258"
"FNS","OpTic Gaming (ex)","252"
"crashies","OpTic Gaming (ex)","230"
"valyn","The Guard (ex)","220"
"valyn","The Guard","220"
"Mistic","FNATIC (ex)","200"
"BcJ","XSET (ex)","195"
"crow","ZETA DIVISION","194"
"Mazino","KRÜ Esports (ex)","168"
"bezn1","Ninjas in Pyjamas (ex)","167"
"d4v41","Paper Rex","161"
"Hoody","G2 Esports (Inactive) (ex)","160"
"lenne","Bleed Esports (ex)","158"
"Sacy","LOUD (ex)","154"
"Melser","Leviatán (ex)","153"
"Saadhak","LOUD","151"
"adverso","Leviatán (ex)","148"
"Benkai","Paper Rex","144"
"Marved","OpTic Gaming","143"
"Klaus","KRÜ Esports","142"
"NcSlasher","Onic Esports (ex)","141"
"vanity","Cloud9","141"
"iRdy","World Game Star","134"
"Russ","Guild Esports (ex)","130"
"TS","On Sla2ers (ex)","123"
"MaKo","DRX","123"
"cauanzin","Ninjas in Pyjamas (ex)","122"
"GodDead","On Sla2ers","120"
"pANcada","LOUD (ex)","118"
"Zest","DRX","117"
"JoXJo","NORTHEPTION (ex)","116"
"Nozwerr","FURIA (ex)","114"
"koldamenta","Guild Esports","112"
"Khalil","FURIA","109"
"supamen","FaZe Clan","106"
"Victor","OpTic Gaming (ex)","106"
"Boaster","FNATIC","106"
"Tio","Movistar Optix","106"
"L1NK","Team Liquid (ex)","105"
"Delz1k","KRÜ Esports (ex)","105"
"Esperanza","DAMWON Gaming","102"
"neth","Crazy Raccoon","102"
"AYRIN","XSET (ex)","101"
"Exy","DAMWON Gaming","99"
"Hate","DAMWON Gaming (ex)","96"
"TENNN","ZETA DIVISION","96"
"effys","Version1 (Inactive) (ex)","95"
"Puleule","9z Team","95"
"Astell","Crazy Raccoon","92"
"Zyppan","FunPlus Phoenix (ex)","91"
"Nivera","Team Liquid (ex)","90"
