"Team","Map","Wins","Losses","Atk Round Wins","Atk Round Losses","Atk Round Win Percentage","Def Round Wins","Def Round Losses","Def Round Win Percentage"
"DRX","Ascent",19,2,134,103,"57.00",142,71,"67.00"
"LOUD","Ascent",16,1,109,75,"59.00",110,39,"74.00"
"OpTic Gaming","Bind",16,4,116,91,"56.00",128,73,"64.00"
"DRX","Breeze",14,3,133,61,"69.00",74,71,"51.00"
"FunPlus Phoenix","Fracture",12,3,87,56,"61.00",91,58,"61.00"
"Leviatán","Haven",13,4,112,75,"60.00",96,97,"50.00"
"On Sla2ers","Bind",10,2,94,42,"69.00",54,37,"59.00"
"LOUD","Breeze",9,1,71,33,"68.00",62,45,"58.00"
"FNATIC","Icebox",11,3,87,67,"56.00",78,50,"61.00"
"DRX","Haven",12,4,112,70,"62.00",79,51,"61.00"
"Paper Rex","Haven",11,3,90,66,"58.00",76,62,"55.00"
"FunPlus Phoenix","Ascent",12,4,105,88,"54.00",102,79,"56.00"
"Leviatán","Ascent",11,4,87,70,"55.00",102,59,"63.00"
"Paper Rex","Icebox",8,1,77,27,"74.00",34,47,"42.00"
"DRX","Fracture",8,1,70,27,"72.00",39,38,"51.00"
"DRX","Split",9,2,68,47,"59.00",66,36,"65.00"
"Ninjas in Pyjamas","Split",8,1,65,36,"64.00",51,42,"55.00"
"KRÜ Esports","Bind",9,2,53,44,"55.00",81,37,"69.00"
"ZETA DIVISION","Icebox",9,3,55,49,"53.00",81,53,"60.00"
"XSET","Split",8,2,63,51,"55.00",64,41,"61.00"
"KRÜ Esports","Breeze",7,1,51,38,"57.00",50,38,"57.00"
"LOUD","Bind",8,2,73,40,"65.00",49,46,"52.00"
"World Game Star","Fracture",6,0,46,28,"62.00",39,25,"61.00"
"LOUD","Icebox",6,1,41,36,"53.00",48,24,"67.00"
"ZETA DIVISION","Split",7,2,51,34,"60.00",53,38,"58.00"
"OpTic Gaming","Fracture",11,6,95,77,"55.00",88,80,"52.00"
"FNATIC","Bind",8,3,74,50,"60.00",59,51,"54.00"
"G2 Esports (Inactive)","Bind",8,3,61,54,"53.00",72,54,"57.00"
"Bleed Esports","Ascent",6,1,49,27,"64.00",40,36,"53.00"
"The Guard","Icebox",8,3,70,64,"52.00",60,43,"58.00"
"Paper Rex","Fracture",7,2,51,31,"62.00",60,46,"57.00"
"BOOM Esports","Breeze",5,0,37,25,"60.00",33,31,"52.00"
"Team Liquid","Breeze",6,1,34,36,"49.00",53,32,"62.00"
"Acend","Split",6,1,36,42,"46.00",46,29,"61.00"
"Guild Esports","Breeze",6,2,52,35,"60.00",54,33,"62.00"
"BOOM Esports","Haven",7,3,50,45,"53.00",61,55,"53.00"
"LOUD","Haven",6,2,42,30,"58.00",48,34,"59.00"
"OpTic Gaming","Split",7,3,50,65,"43.00",69,49,"58.00"
"REJECT","Haven",6,2,56,33,"63.00",35,24,"59.00"
"KRÜ Esports","Split",6,2,45,34,"57.00",43,33,"57.00"
"FURIA","Ascent",8,4,73,75,"49.00",71,49,"59.00"
"On Sla2ers","Haven",7,3,64,37,"63.00",61,36,"63.00"
"ZETA DIVISION","Fracture",7,3,55,40,"58.00",55,45,"55.00"
"KRÜ Esports","Haven",11,7,77,72,"52.00",124,88,"58.00"
"Keyd Stars","Bind",5,1,33,25,"57.00",37,29,"56.00"
"XSET","Breeze",7,3,55,50,"52.00",53,38,"58.00"
"Maru Gaming","Breeze",7,3,48,56,"46.00",58,47,"55.00"
"XERXIA Esports","Ascent",8,4,76,61,"55.00",71,60,"54.00"
"On Sla2ers","Ascent",7,3,29,41,"41.00",73,38,"66.00"
"M3 Champions","Bind",7,3,58,53,"52.00",56,37,"60.00"
"FunPlus Phoenix","Split",7,3,60,50,"55.00",70,46,"60.00"
"M3 Champions","Breeze",7,3,62,53,"54.00",54,42,"56.00"
"FNATIC","Haven",7,3,62,45,"58.00",53,48,"52.00"
"FURIA","Fracture",4,1,29,24,"55.00",26,20,"57.00"
"Los Grandes","Haven",3,0,16,12,"57.00",23,13,"64.00"
"Version1 (Inactive)","Icebox",3,0,21,9,"70.00",18,9,"67.00"
"DAMWON Gaming","Haven",7,4,56,62,"47.00",62,52,"54.00"
"FunPlus Phoenix","Haven",9,6,81,81,"50.00",83,80,"51.00"
"Cloud9","Ascent",7,4,57,52,"52.00",66,47,"58.00"
"Natus Vincere","Ascent",5,2,44,37,"54.00",31,32,"49.00"
"FaZe Clan","Fracture",5,2,46,30,"61.00",39,34,"53.00"
"XERXIA Esports","Icebox",8,5,75,67,"53.00",61,71,"46.00"
"Team Liquid","Haven",8,5,72,66,"52.00",79,64,"55.00"
"World Game Star","Haven",8,5,63,50,"56.00",70,75,"48.00"
"FunPlus Phoenix","Bind",7,4,60,48,"56.00",57,53,"52.00"
"Keyd Stars","Breeze",8,5,75,72,"51.00",76,78,"49.00"
"OpTic Gaming","Haven",10,7,108,76,"59.00",66,102,"39.00"
"The Guard","Haven",9,6,91,63,"59.00",70,82,"46.00"
"ORDER","Ascent",4,1,19,15,"56.00",42,18,"70.00"
"TBK Esports","Bind",5,2,33,31,"52.00",48,41,"54.00"
"Team Liquid","Split",8,5,77,71,"52.00",62,66,"48.00"
"DAMWON Gaming","Split",6,3,52,45,"54.00",45,36,"56.00"
"FNATIC","Split",6,3,52,57,"48.00",58,49,"54.00"
"Onic Esports","Ascent",5,2,43,27,"61.00",35,31,"53.00"
"DAMWON Gaming","Breeze",4,2,39,36,"52.00",38,22,"63.00"
"FULL SENSE","Bind",2,0,13,11,"54.00",13,6,"68.00"
"Rex Regum Qeon","Split",2,0,15,9,"63.00",11,6,"65.00"
"Team Liquid","Icebox",8,6,87,67,"56.00",80,77,"51.00"
"The Guard","Ascent",4,2,21,28,"43.00",44,27,"62.00"
"NORTHEPTION","Ascent",6,4,53,51,"51.00",58,51,"53.00"
"Natus Vincere","Bind",4,2,37,31,"54.00",39,36,"52.00"
"Alter Ego","Fracture",3,1,27,16,"63.00",22,20,"52.00"
"DAMWON Gaming","Fracture",4,2,34,25,"58.00",31,38,"45.00"
"Onic Esports","Breeze",5,3,50,40,"56.00",41,43,"49.00"
"FAV gaming","Breeze",2,0,9,15,"38.00",17,3,"85.00"
"Cloud9","Icebox",4,2,43,32,"57.00",35,33,"51.00"
"G2 Esports (Inactive)","Breeze",3,1,25,19,"57.00",25,21,"54.00"
"BOOM Esports","Icebox",3,1,23,12,"66.00",22,21,"51.00"
"DRX","Bind",6,4,66,45,"59.00",47,44,"52.00"
"Keyd Stars","Haven",5,3,49,42,"54.00",46,37,"55.00"
"Bleed Esports","Split",3,1,25,16,"61.00",18,23,"44.00"
"OpTic Gaming","Pearl",2,0,12,4,"75.00",14,7,"67.00"
"IGZIST","Breeze",3,1,24,25,"49.00",27,9,"75.00"
"HolyMolly","Breeze",3,1,28,19,"60.00",23,22,"51.00"
"DAMWON Gaming","Ascent",7,5,69,59,"54.00",63,45,"58.00"
"Paper Rex","Ascent",4,2,40,29,"58.00",28,28,"50.00"
"KRÜ Esports","Icebox",5,3,56,42,"57.00",44,41,"52.00"
"Team Secret","Breeze",3,1,24,17,"59.00",26,19,"58.00"
"XSET","Icebox",4,2,38,30,"56.00",38,36,"51.00"
"NORTHEPTION","Icebox",2,0,9,11,"45.00",17,7,"71.00"
"XSET","Pearl",3,1,19,23,"45.00",28,16,"64.00"
"FAV gaming","Icebox",3,1,26,20,"57.00",19,14,"58.00"
"ZETA DIVISION","Haven",8,6,74,51,"59.00",74,89,"45.00"
"Paper Rex","Pearl",2,0,14,10,"58.00",12,5,"71.00"
"Crazy Raccoon","Haven",7,5,66,43,"61.00",66,60,"52.00"
"World Game Star","Icebox",3,1,16,13,"55.00",30,18,"63.00"
"Version1 (Inactive)","Breeze",2,0,15,9,"63.00",11,7,"61.00"
"Crazy Raccoon","Bind",4,2,40,19,"68.00",31,37,"46.00"
"G2 Esports (Inactive)","Icebox",7,5,67,64,"51.00",69,53,"57.00"
"100 Thieves","Bind",4,2,35,26,"57.00",29,26,"53.00"
"LOUD","Fracture",6,4,45,45,"50.00",64,49,"57.00"
"REJECT","Icebox",5,3,53,29,"65.00",41,32,"56.00"
"Maru Gaming","Bind",5,3,37,27,"58.00",45,51,"47.00"
"On Sla2ers","Breeze",5,3,42,27,"61.00",41,35,"54.00"
"Paper Rex","Bind",6,4,62,42,"60.00",47,52,"47.00"
"Crazy Raccoon","Icebox",5,3,42,36,"54.00",40,35,"53.00"
"NORTHEPTION","Bind",4,2,28,28,"50.00",34,36,"49.00"
"Sentinels","Breeze",3,1,21,28,"43.00",30,20,"60.00"
"Team Liquid","Ascent",6,4,60,54,"53.00",59,60,"50.00"
"Cloud9","Haven",6,4,59,42,"58.00",54,33,"62.00"
"Version1 (Inactive)","Ascent",4,2,32,33,"49.00",32,18,"64.00"
"LOUD","Split",3,1,29,18,"62.00",26,27,"49.00"
"FENNEL","Split",2,0,10,4,"71.00",17,8,"68.00"
"ZETA DIVISION","Pearl",1,0,8,4,"67.00",5,7,"42.00"
"E-Xolos LAZER","Ascent",1,0,4,2,"67.00",9,3,"75.00"
"World Game Star","Bind",8,7,84,65,"56.00",70,81,"46.00"
"Los Grandes","Icebox",3,2,26,31,"46.00",28,23,"55.00"
"FULL SENSE","Haven",2,1,21,15,"58.00",17,20,"46.00"
"IXA","Split",1,0,6,6,"50.00",7,3,"70.00"
"REJECT","Ascent",3,2,27,30,"47.00",25,28,"47.00"
"100 Thieves","Icebox",4,3,41,36,"53.00",38,40,"49.00"
"SunXet Club","Ascent",2,1,15,22,"41.00",15,14,"52.00"
"Bleed Esports","Breeze",2,1,20,13,"61.00",17,15,"53.00"
"Bleed Esports","Bind",3,2,31,17,"65.00",18,28,"39.00"
"Ghost Gaming","Split",1,0,9,5,"64.00",6,8,"43.00"
"Hexad","Breeze",1,0,6,4,"60.00",7,5,"58.00"
"Bleed Esports","Haven",6,5,61,60,"50.00",51,52,"50.00"
"Team T5","Icebox",1,0,5,2,"71.00",8,4,"67.00"
"Ninjas in Pyjamas","Haven",5,4,51,55,"48.00",48,45,"52.00"
"EVA:e","Haven",1,0,5,8,"38.00",9,4,"69.00"
"Global Esports","Ascent",1,0,10,4,"71.00",5,9,"36.00"
"NRG Esports","Haven",4,3,32,31,"51.00",43,42,"51.00"
"DeToNator","Ascent",1,0,5,7,"42.00",8,4,"67.00"
"BIG","Bind",3,2,37,27,"58.00",30,30,"50.00"
"Crazy Raccoon","Split",2,1,15,10,"60.00",17,19,"47.00"
"Persija Esports","Breeze",2,1,16,13,"55.00",18,15,"55.00"
"Gambit Esports","Bind",1,0,3,4,"43.00",10,2,"83.00"
"South Built Esports","Haven",2,1,23,8,"74.00",12,16,"43.00"
"Veronica7","Bind",1,0,7,3,"70.00",6,6,"50.00"
"100 Thieves","Fracture",5,4,53,44,"55.00",53,51,"51.00"
"Ninjas in Pyjamas","Icebox",8,7,77,70,"52.00",77,84,"48.00"
"BIG","Fracture",1,0,6,6,"50.00",7,5,"58.00"
"South Built Esports","Icebox",1,0,5,7,"42.00",8,2,"80.00"
"Crazy Raccoon","Ascent",4,3,30,37,"45.00",57,27,"68.00"
"Onic Esports","Haven",3,2,23,32,"42.00",40,19,"68.00"
"Onic Esports","Fracture",3,2,30,29,"51.00",30,36,"45.00"
"FENNEL","Haven",1,0,9,2,"82.00",4,8,"33.00"
"EBRO Gaming","Breeze",2,1,15,21,"42.00",18,9,"67.00"
"Brimstone","Bind",1,0,5,7,"42.00",8,4,"67.00"
"Keyd Stars","Icebox",7,6,65,62,"51.00",77,71,"52.00"
