"Team","Situation","Delta","Win %","Wins","Losses"
"ややーず","5v1","+4","100.00",4,0
"ややーず","5v2","+3","100.00",5,0
"ややーず","4v1","+3","100.00",5,0
"ややーず","5v3","+2","100.00",9,0
"ややーず","4v2","+2","80.00",4,1
"ややーず","3v1","+2","100.00",5,0
"ややーず","5v4","+1","60.00",12,8
"ややーず","4v3","+1","69.23",9,4
"ややーず","3v2","+1","72.72",8,3
"ややーず","2v1","+1","100.00",8,0
"ややーず","4v4","0","34.48",10,19
"ややーず","3v3","0","53.33",8,7
"ややーず","2v2","0","58.33",7,5
"ややーず","1v1","0","100.00",4,0
"ややーず","4v5","-1","35.71",10,18
"ややーず","3v4","-1","25.00",6,18
"ややーず","2v3","-1","30.00",3,7
"ややーず","1v2","-1","18.18",2,9
"ややーず","3v5","-2","20.00",2,8
"ややーず","2v4","-2","18.75",3,13
"ややーず","1v3","-2","16.66",2,10
"ややーず","2v5","-3","0.00",0,5
"ややーず","1v4","-3","13.33",2,13
"ややーず","1v5","-4","0.00",0,5
"100 Thieves","5v1","+4","100.00",83,0
"100 Thieves","5v2","+3","100.00",155,0
"100 Thieves","4v1","+3","100.00",187,0
"100 Thieves","5v3","+2","92.88",261,20
"100 Thieves","4v2","+2","93.66",281,19
"100 Thieves","3v1","+2","96.74",238,8
"100 Thieves","5v4","+1","73.23",435,159
"100 Thieves","4v3","+1","78.00",337,95
"100 Thieves","3v2","+1","80.12",262,65
"100 Thieves","2v1","+1","85.78",181,30
"100 Thieves","4v4","0","52.92",317,282
"100 Thieves","3v3","0","52.75",211,189
"100 Thieves","2v2","0","53.89",159,136
"100 Thieves","1v1","0","52.77",95,85
"100 Thieves","4v5","-1","29.14",181,440
"100 Thieves","3v4","-1","25.93",111,317
"100 Thieves","2v3","-1","24.14",78,245
"100 Thieves","1v2","-1","18.75",42,182
"100 Thieves","3v5","-2","10.15",33,292
"100 Thieves","2v4","-2","7.58",22,268
"100 Thieves","1v3","-2","3.26",8,237
"100 Thieves","2v5","-3","1.63",3,180
"100 Thieves","1v4","-3","0.96",2,206
"100 Thieves","1v5","-4","1.83",2,107
"9z Team","5v1","+4","100.00",61,0
"9z Team","5v2","+3","97.24",106,3
"9z Team","4v1","+3","99.18",121,1
"9z Team","5v3","+2","86.72",183,28
"9z Team","4v2","+2","91.19",176,17
"9z Team","3v1","+2","96.77",150,5
"9z Team","5v4","+1","69.21",281,125
"9z Team","4v3","+1","70.42",200,84
"9z Team","3v2","+1","76.12",169,53
"9z Team","2v1","+1","84.39",119,22
"9z Team","4v4","0","45.18",169,205
"9z Team","3v3","0","45.76",119,141
"9z Team","2v2","0","43.09",78,103
"9z Team","1v1","0","49.54",55,56
"9z Team","4v5","-1","21.54",89,324
"9z Team","3v4","-1","20.47",60,233
"9z Team","2v3","-1","14.35",30,179
"9z Team","1v2","-1","13.17",22,145
"9z Team","3v5","-2","7.79",18,213
"9z Team","2v4","-2","4.62",10,206
"9z Team","1v3","-2","4.00",7,168
"9z Team","2v5","-3","0.80",1,123
"9z Team","1v4","-3","0.00",0,153
"9z Team","1v5","-4","0.00",0,73
"Acend","5v1","+4","100.00",55,0
"Acend","5v2","+3","98.09",103,2
"Acend","4v1","+3","100.00",128,0
"Acend","5v3","+2","92.64",189,15
"Acend","4v2","+2","96.00",168,7
"Acend","3v1","+2","98.79",164,2
"Acend","5v4","+1","70.57",283,118
"Acend","4v3","+1","73.84",192,68
"Acend","3v2","+1","78.74",163,44
"Acend","2v1","+1","87.21",116,17
"Acend","4v4","0","46.04",169,198
"Acend","3v3","0","48.88",131,137
"Acend","2v2","0","47.51",86,95
"Acend","1v1","0","42.69",38,51
"Acend","4v5","-1","24.16",94,295
"Acend","3v4","-1","25.67",76,220
"Acend","2v3","-1","19.23",40,168
"Acend","1v2","-1","8.33",13,143
"Acend","3v5","-2","8.48",19,205
"Acend","2v4","-2","6.46",13,188
"Acend","1v3","-2","1.26",2,156
"Acend","2v5","-3","0.00",0,126
"Acend","1v4","-3","0.00",0,143
"Acend","1v5","-4","0.00",0,75
"Alter Ego","5v1","+4","100.00",40,0
"Alter Ego","5v2","+3","100.00",70,0
"Alter Ego","4v1","+3","97.33",73,2
"Alter Ego","5v3","+2","91.59",109,10
"Alter Ego","4v2","+2","93.33",112,8
"Alter Ego","3v1","+2","95.23",100,5
"Alter Ego","5v4","+1","74.58",179,61
"Alter Ego","4v3","+1","77.01",134,40
"Alter Ego","3v2","+1","78.16",111,31
"Alter Ego","2v1","+1","87.61",92,13
"Alter Ego","4v4","0","54.31",126,106
"Alter Ego","3v3","0","52.94",81,72
"Alter Ego","2v2","0","48.83",63,66
"Alter Ego","1v1","0","54.43",43,36
"Alter Ego","4v5","-1","27.31",65,173
"Alter Ego","3v4","-1","22.56",37,127
"Alter Ego","2v3","-1","26.01",32,91
"Alter Ego","1v2","-1","12.22",11,79
"Alter Ego","3v5","-2","7.20",9,116
"Alter Ego","2v4","-2","6.72",8,111
"Alter Ego","1v3","-2","5.88",5,80
"Alter Ego","2v5","-3","4.34",3,66
"Alter Ego","1v4","-3","0.00",0,80
"Alter Ego","1v5","-4","0.00",0,42
"AWS","5v2","+3","100.00",2,0
"AWS","4v1","+3","100.00",3,0
"AWS","5v3","+2","66.66",4,2
"AWS","4v2","+2","100.00",5,0
"AWS","3v1","+2","100.00",4,0
"AWS","5v4","+1","46.15",6,7
"AWS","4v3","+1","44.44",4,5
"AWS","3v2","+1","100.00",3,0
"AWS","2v1","+1","100.00",4,0
"AWS","4v4","0","15.38",2,11
"AWS","3v3","0","11.11",1,8
"AWS","2v2","0","20.00",1,4
"AWS","1v1","0","25.00",1,3
"AWS","4v5","-1","0.00",0,19
"AWS","3v4","-1","0.00",0,11
"AWS","2v3","-1","0.00",0,13
"AWS","1v2","-1","14.28",1,6
"AWS","3v5","-2","0.00",0,13
"AWS","2v4","-2","0.00",0,11
"AWS","1v3","-2","0.00",0,11
"AWS","2v5","-3","0.00",0,10
"AWS","1v4","-3","0.00",0,9
"AWS","1v5","-4","0.00",0,7
"BBL Esports","5v1","+4","100.00",33,0
"BBL Esports","5v2","+3","95.52",64,3
"BBL Esports","4v1","+3","95.55",86,4
"BBL Esports","5v3","+2","85.41",123,21
"BBL Esports","4v2","+2","91.53",119,11
"BBL Esports","3v1","+2","93.47",86,6
"BBL Esports","5v4","+1","68.24",187,87
"BBL Esports","4v3","+1","71.21",141,57
"BBL Esports","3v2","+1","81.15",112,26
"BBL Esports","2v1","+1","79.77",71,18
"BBL Esports","4v4","0","45.59",119,142
"BBL Esports","3v3","0","40.97",84,121
"BBL Esports","2v2","0","47.88",68,74
"BBL Esports","1v1","0","47.56",39,43
"BBL Esports","4v5","-1","23.17",70,232
"BBL Esports","3v4","-1","22.56",51,175
"BBL Esports","2v3","-1","12.70",23,158
"BBL Esports","1v2","-1","17.42",23,109
"BBL Esports","3v5","-2","10.91",19,155
"BBL Esports","2v4","-2","9.33",14,136
"BBL Esports","1v3","-2","2.85",4,136
"BBL Esports","2v5","-3","3.75",3,77
"BBL Esports","1v4","-3","2.40",2,81
"BBL Esports","1v5","-4","0.00",0,38
"BIG","5v1","+4","100.00",29,0
"BIG","5v2","+3","100.00",57,0
"BIG","4v1","+3","100.00",77,0
"BIG","5v3","+2","87.20",109,16
"BIG","4v2","+2","95.12",117,6
"BIG","3v1","+2","96.36",106,4
"BIG","5v4","+1","66.53",173,87
"BIG","4v3","+1","71.57",136,54
"BIG","3v2","+1","76.08",105,33
"BIG","2v1","+1","82.35",70,15
"BIG","4v4","0","43.96",113,144
"BIG","3v3","0","45.66",79,94
"BIG","2v2","0","43.96",51,65
"BIG","1v1","0","49.25",33,34
"BIG","4v5","-1","22.58",63,216
"BIG","3v4","-1","21.69",41,148
"BIG","2v3","-1","19.68",25,102
"BIG","1v2","-1","19.26",21,88
"BIG","3v5","-2","9.49",15,143
"BIG","2v4","-2","6.76",9,124
"BIG","1v3","-2","3.44",4,112
"BIG","2v5","-3","2.85",3,102
"BIG","1v4","-3","1.76",2,111
"BIG","1v5","-4","0.00",0,73
"Bleed Esports","5v1","+4","100.00",54,0
"Bleed Esports","5v2","+3","97.00",97,3
"Bleed Esports","4v1","+3","99.20",125,1
"Bleed Esports","5v3","+2","88.88",176,22
"Bleed Esports","4v2","+2","93.68",193,13
"Bleed Esports","3v1","+2","96.79",151,5
"Bleed Esports","5v4","+1","71.57",287,114
"Bleed Esports","4v3","+1","74.28",234,81
"Bleed Esports","3v2","+1","80.26",179,44
"Bleed Esports","2v1","+1","82.91",131,27
"Bleed Esports","4v4","0","51.98",223,206
"Bleed Esports","3v3","0","48.01",145,157
"Bleed Esports","2v2","0","51.83",113,105
"Bleed Esports","1v1","0","52.11",74,68
"Bleed Esports","4v5","-1","31.61",129,279
"Bleed Esports","3v4","-1","26.68",79,217
"Bleed Esports","2v3","-1","21.25",51,189
"Bleed Esports","1v2","-1","19.07",33,140
"Bleed Esports","3v5","-2","10.43",19,163
"Bleed Esports","2v4","-2","7.86",14,164
"Bleed Esports","1v3","-2","4.73",8,161
"Bleed Esports","2v5","-3","1.13",1,87
"Bleed Esports","1v4","-3","1.66",2,118
"Bleed Esports","1v5","-4","0.00",0,53
"BLUE BEES.ESP","5v1","+4","100.00",21,0
"BLUE BEES.ESP","5v2","+3","97.56",40,1
"BLUE BEES.ESP","4v1","+3","98.11",52,1
"BLUE BEES.ESP","5v3","+2","84.70",72,13
"BLUE BEES.ESP","4v2","+2","93.82",76,5
"BLUE BEES.ESP","3v1","+2","96.82",61,2
"BLUE BEES.ESP","5v4","+1","72.29",107,41
"BLUE BEES.ESP","4v3","+1","74.33",84,29
"BLUE BEES.ESP","3v2","+1","87.01",67,10
"BLUE BEES.ESP","2v1","+1","85.71",48,8
"BLUE BEES.ESP","4v4","0","51.51",68,64
"BLUE BEES.ESP","3v3","0","49.42",43,44
"BLUE BEES.ESP","2v2","0","51.42",36,34
"BLUE BEES.ESP","1v1","0","57.14",24,18
"BLUE BEES.ESP","4v5","-1","30.21",42,97
"BLUE BEES.ESP","3v4","-1","21.50",20,73
"BLUE BEES.ESP","2v3","-1","14.28",11,66
"BLUE BEES.ESP","1v2","-1","18.18",10,45
"BLUE BEES.ESP","3v5","-2","9.09",6,60
"BLUE BEES.ESP","2v4","-2","5.79",4,65
"BLUE BEES.ESP","1v3","-2","0.00",0,58
"BLUE BEES.ESP","2v5","-3","2.94",1,33
"BLUE BEES.ESP","1v4","-3","0.00",0,42
"BLUE BEES.ESP","1v5","-4","0.00",0,19
"Bonkers(OCE)","5v1","+4","100.00",19,0
"Bonkers(OCE)","5v2","+3","100.00",29,0
